player_id,player_name,positions,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-ouellette-2,A.J. OUELLETTE,RB,,,,,,,,7.0,2.0,,69.0,
brett-lauther,Brett LAUTHER,K,162.0,,,,,,,,,,,
dhel-duncan-busby,Dhel Duncan-Busby,WR,,,,,,,0.0,6.0,1.0,,,
jack-coan,Jack Coan,QB,,,,,,,,,,0.0,4.0,
joe-robustelli,Joe Robustelli,WR,,,,,,,1.0,75.0,5.0,,,
keesean-johnson,KeeSean Johnson,WR,,,,,,,0.0,3.0,1.0,,,
kian-schaffer-baker,Kian SCHAFFER-BAKER,WR,,,,,,,0.0,68.0,5.0,,,
ssk-dst,SSK DST,DST,,,1.0,,,19.0,,,,,,1.0
ssk-k,SSK K,K,162.0,,,,,,,,,,,
ssk-qb,SSK QB,QB,,0.0,,2.0,340.0,,,,,0.0,4.0,
samuel-emilus,Samuel Emilus,WR,,,,,,,0.0,142.0,6.0,,,
thomas-bertrand-hudon,Thomas Bertrand-Hudon,RB,,,,,,,,,,0.0,32.0,
tommy-nield,Tommy Nield,WR,,,,,,,1.0,39.0,3.0,,,
trevor-harris,Trevor HARRIS,QB,,0.0,,2.0,340.0,,,,,,,
