player_id,player_name,positions,1pt_conversion,conversions,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alize-mack,Alize Mack,TE,,,,,,,,,,0.0,12.0,1.0,,,
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,0.0,34.0,6.0,0.0,82.0,
brahmas-dst,Brahmas DST,DST,,,,1.0,,,,,9.0,,,,,,3.0
brahmas-k,Brahmas K,K,,,,,,1.0,,,,,,,,,
brahmas-qb,Brahmas QB,QB,,,0.0,,1.0,,0.0,183.0,,,,,0.0,10.0,
chase-garbers,Chase Garbers,QB,,,0.0,,,,0.0,139.0,,,,,0.0,10.0,
cody-latimer,Cody Latimer,TE,,,,,,,,,,0.0,25.0,1.0,,,
john-lovett,John Lovett,RB,0.0,0.0,,,,,,,,,,,,,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,1.0,36.0,,0.0,66.0,4.0,0.0,0.0,
justin-smith,Justin Smith,WR,,,,,,,,,,1.0,56.0,4.0,,,
landen-akers,Landen Akers,WR,,,,,,,,,,0.0,0.0,0.0,,,
marquez-stevenson,Marquez Stevenson,WR,,,,,,,,,,0.0,26.0,4.0,,,
morgan-ellison,Morgan Ellison,RB,,,,,,,,,,,,,2.0,30.0,
pooka-williams,Pooka Williams,RB/WR,,,,,,,,,,,,,,5.0,
quinten-dormady,Quinten Dormady,QB,,,0.0,,1.0,,0.0,44.0,,,,,,,
ryan-santoso,Ryan Santoso,K,,,,,,1.0,,,,,,,,,
