player_id,player_name,positions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
aakiel-greer,Aakiel Greer,WR,,,,1.0,57.0,4.0,,
darien-townsend,DARIEN TOWNSEND,WR,,,,3.0,77.0,3.0,,
duane-brown,DUANE  BROWN,WR,,,,3.0,89.0,4.0,,
desmond-maxwell,Desmond  Maxwell,RB/FB/LB,,,,,,,0.0,27.0
isaiah-scott,Isaiah Scott,WR,,,,0.0,49.0,4.0,,
josh-meier,Josh Meier,WR,,,,0.0,23.0,5.0,,
marquel-wade,MARQUEL WADE,WR,,,,0.0,3.0,1.0,,
manny-higuera,Manny Higuera,K,,,,,,,0.0,-11.0
robert-mccoy-jr,Robert Mccoy Jr,QB,0.0,4.0,98.0,,,,,
sam-castronova,Sam Castronova,QB,1.0,3.0,122.0,,,,1.0,1.0
