player_id,player_name,positions,interceptions_lost,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
alize-mack,Alize Mack,TE,,,,,1.0,48.0,4.0,,,,
andrew-jamiel,Andrew Jamiel,WR,,,,,,3.0,1.0,,,,
brahmas-qb,Brahmas QB,QB,,,3.0,165.0,,,,,23.0,,
caevon-patton,Caevon Patton,DL/DE,,,,,,,,,,,5.0
charleston-rambo,Charleston RAMBO,WR,,,,,,4.0,1.0,,,,
cody-latimer,Cody Latimer,TE,,,,,1.0,21.0,5.0,,,,
darece-roberson,Darece Roberson,WR,,,,,,38.0,4.0,,,,
deon-yelder,Deon Yelder,TE,,,,,1.0,13.0,2.0,,,,
deondre-francois,Deondre Francois,QB,1.0,,1.0,8.0,,,,,14.0,,
dontez-byrd,Dontez Byrd,WR,,,,,,32.0,1.0,,,,
drew-beesley,Drew Beesley,DL/DE,,,,,,,,,,0.5,4.0
eli-rogers,Eli Rogers,WR,,,,,1.0,8.0,1.0,,,,
emmanuel-olenga,Emmanuel Olenga,DL,,,,,,,,,,,1.0
gerald-willis,Gerald Willis,DL,,,,,,,,,,,1.0
guardians-qb,Guardians QB,QB,1.0,,2.0,87.0,,,,,23.0,,
javonta-payton,JaVonta Payton,WR,,,,,,47.0,3.0,,,,
jack-coan,Jack Coan,QB,,,3.0,165.0,,,,,23.0,,
jack-koerner,Jack Koerner,DB/SS,,2.0,,,,,,,,,3.0
jacoby-jones,Jacoby Jones,DL,,,,,,,,,,,1.0
jacques-patrick,Jacques Patrick,RB,,,,,,,,,19.0,,
jah-maine-martin,Jah-Maine Martin,RB,,,,,,,2.0,,46.0,,
jalen-tolliver,Jalen Tolliver,WR,,,,,1.0,31.0,3.0,,,,
jon-hilliman,Jon Hilliman,RB,,,,,,,,1.0,1.0,,
jordan-williams,Jordan Williams,DL/OT/DE/LB/MLB/DB,,,,,,,,,,,6.0
kalen-ballage,Kalen Ballage,RB,,,,,,,,,23.0,,
kelvin-taylor,Kelvin Taylor,RB,,,,,,-3.0,1.0,,31.0,,
logan-carter,Logan Carter,TE,,,,,,7.0,1.0,,,,
luq-barcoo,Luq Barcoo,DB/CB,,1.0,,,,,,,,,4.0
marcus-murphy-2,Marcus Murphy,DB,,,,,,,,,,,5.0
matt-elam,Matt Elam,DB,,2.0,,,,,,,,,3.0
mike-lee,Mike Lee,DB,,,,,,,,,,1.0,8.0
mike-tverdov,Mike Tverdov,DL,,,,,,,,,,0.5,2.0
paxton-lynch,Paxton Lynch,QB,,,1.0,79.0,,,,,9.0,,
riko-jeffers,Riko Jeffers,LB,,,,,,,,,,,1.0
stansly-maponga,Stansly Maponga,DL/DB,,,,,,,,,,1.0,3.0
tj-vasher,T.J. Vasher,WR,,,,,,35.0,3.0,,,,
tenny-adewusi,Tenny Adewusi,DB,,,,,,,,,,,5.0
terrance-plummer,Terrance Plummer,LB,,,,,,,,,,,3.0
terrance-smith,Terrance Smith,LB,,,,,,,,,,,3.0
terrell-bonds,Terrell Bonds,DB/CB,,,,,,,,,,,2.0
