player_id,player_name,positions,field_goal_yards,interceptions_lost,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
albert-awachie,Albert Awachie,FB/RB,,,,,,0.0,17.0,2.0,,,,
brett-lauther,Brett LAUTHER,K,99.0,,,,,,,,,,,
frankie-hickson,Frankie Hickson,RB,,,,,,,,,0.0,3.0,,
jake-dolegala,Jake Dolegala,QB,,,,,,,,,0.0,2.0,,
jamal-morrow,Jamal Morrow,RB,,,,,,0.0,29.0,4.0,0.0,11.0,,
kendall-watson,Kendall Watson,WR,,,,,,0.0,37.0,5.0,,,,
larry-dean,Larry Dean,LB,,,,,,,,,,,1.0,6.0
mason-fine,Mason Fine,QB,,2.0,0.0,284.0,,,,,,,,
mitchell-picton,Mitchell PICTON,WR,,,,,,0.0,16.0,2.0,,,,
pete-robertson,Pete Robertson,DL,,,,,,,,,,,1.0,1.0
ssk-dst,SSK DST,DST,,,,,19.0,,,,,,4.0,
ssk-k,SSK K,K,99.0,,,,,,,,,,,
ssk-qb,SSK QB,QB,,2.0,,284.0,,,,,,,,
samuel-emilus,Samuel Emilus,WR,,,,,,0.0,36.0,2.0,,,,
shawn-bane-jr,Shawn Bane Jr.,WR,,,,,,,74.0,10.0,,,,
tevin-jones,Tevin JONES,WR,,,,,,0.0,75.0,7.0,,,,
