player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
anthony-gosselin,Anthony GOSSELIN,FB/RB,,,,,,,,,,,,,,,,7.0,1.0,1.0,,4.0,7.0,,,,,,,,,,,,,,,,,,,
anthony-thompson,Anthony Thompson,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-williams,Avery Williams,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boseko-lokombo,Boseko Lokombo,LB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-muhammad,Brad Muhammad,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,,,,,,,,,,38.0,6.0,7.0,,26.0,84.0,,,,,,,,,,,,,,,,,,,
charone-peake,Charone Peake,WR,,,,,,,,,,,,,,,,5.0,1.0,5.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,
chris-rainey,Chris Rainey,RB,,,,,,,,,,,,,,,,12.0,1.0,2.0,,12.0,12.0,18.0,2.0,,,30.0,3.0,5.0,,8.0,,,,,,,,,,
dana-levine,Dana Levine,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daniel-petermann,Daniel Petermann,WR,,,,,,,,,,,,,,,,10.0,2.0,2.0,,7.0,20.0,,,,,,,,,,,,,,,,,,,
davon-coleman,Davon Coleman,DB/DT,,,1.0,4.0,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devonte-dedmon,Devonte DEDMON,WR/RB,,,,,,,,,,,,,,,,8.0,1.0,1.0,,4.0,8.0,42.0,4.0,,,117.0,2.0,11.0,,14.0,,,,,,,,,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,,,,,,,,,6.0,1.0,1.0,,6.0,6.0,,,,,,,,,,,,,,,,,,,
don-unamba,Don Unamba,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frank-beltre,Frank Beltre,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garry-peters,Garry Peters,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hakeem-johnson,Hakeem Johnson,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jr-tavai,J.R. Tavai,DB/DL,,,1.0,3.0,3.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacob-scarfone,Jacob Scarfone,WR,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
jalon-edwards-cooper,Jalon Edwards-Cooper,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,,,,,,,,,5.0,5.0,1.0,31.0,93.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
jimmy-camacho,Jimmy Camacho,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,3.0,3.0,49.0,10.0,2.0,1.0
jordan-williams,Jordan Williams,LB/WR/DE/MLB/OT/DL,1.0,17.0,,8.0,8.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-banks,Josh Banks,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-davis,Justin Davis,RB,,,,2.0,2.0,,,,,,,,,,,9.0,4.0,7.0,,7.0,14.0,,,,,,12.0,11.0,,43.0,,,,,,,,,,
justin-howell,Justin Howell,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kene-onyeka,Kene Onyeka,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemar-durant,Lemar Durant,WR,,,,,,,,,,,,,,,,19.0,1.0,2.0,,1.0,19.0,,,,,,,,,,,,,,,,,,,
lewis-ward,Lewis Ward,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,4.0,4.0,48.0,12.0,,
lucky-whitehead,Lucky Whitehead,WR,,,,,,,,,,,,,,,,16.0,6.0,9.0,,17.0,64.0,,,,,,,,,,,,,,,,,,,
marcus-lewis,Marcus Lewis,DB/CB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcus-sayles,Marcus Sayles,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matt-nichols,Matt Nichols,QB,,,,,,,,37.0,23.0,1.0,21.0,12.0,2.0,,206.0,,,,,,,,,,,,1.0,3.0,,3.0,,,,,,,,,,
micah-awe,Micah Awe,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-reilly,Mike Reilly,QB,,,,,,,,32.0,23.0,,,9.0,2.0,1.0,301.0,,,,,,,,,,,,3.0,18.0,1.0,20.0,,6.0,1.0,1.0,,,,,,
