player_id,player_name,positions,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,1.0,33.0,5.0,0.0,57.0,
boris-bede,Boris Bede,K,42.0,,,1.0,,,,,,,,,
brandon-barnes,Brandon Barnes,TE/WR,,,,,,,,0.0,0.0,0.0,0.0,6.0,
chad-kelly,Chad KELLY,QB,,,,,,,,,,,1.0,50.0,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,0.0,100.0,5.0,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,,0.0,17.0,3.0,,,
daniel-adeboboye,Daniel ADEBOBOYE,RB,,,,,,,,0.0,5.0,1.0,0.0,1.0,
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,1.0,41.0,3.0,,,
markeith-ambles,Markeith Ambles,WR,,,,,,,,1.0,49.0,4.0,,,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,1.0,,,3.0,245.0,,,,,0.0,2.0,
tor-dst,TOR DST,DST,,,5.0,,,,15.0,,,,,,3.0
tor-qb,TOR QB,QB,,2.0,,,2.0,242.0,,,,,,,
