player_id,player_name,positions,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alize-mack,Alize Mack,TE,,,,,,,,0.0,0.0,0.0,,,
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,0.0,6.0,2.0,0.0,32.0,
brahmas-dst,Brahmas DST,DST,,,1.0,,,,33.0,,,,,,0.0
brahmas-k,Brahmas K,K,39.0,,,1.0,,,,,,,,,
brahmas-qb,Brahmas QB,QB,,0.0,,,0.0,159.0,,,,,0.0,19.0,
dee-anderson,Dee Anderson,WR,,,,,,,,0.0,8.0,1.0,,,
donald-de-la-haye,Donald De La Haye,K,39.0,,,1.0,,,,,,,,,
greg-ward,Greg Ward,WR,,,,,,,,0.0,24.0,4.0,,,
jacob-harris,Jacob Harris,WR,,,,,,,,0.0,63.0,4.0,,,
jashaun-corbin,Jashaun Corbin,RB,,,,,,,,0.0,2.0,1.0,0.0,36.0,
john-lovett,John Lovett,RB,,,,,,,,0.0,16.0,1.0,1.0,18.0,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,0.0,39.0,4.0,,,
kellen-mond,Kellen Mond,QB,,0.0,,,0.0,159.0,,,,,0.0,19.0,
marquez-stevenson,Marquez Stevenson,WR,,,,,,,,0.0,0.0,0.0,,,
racey-mcmath,Racey McMath,WR,,,,,,,,0.0,0.0,0.0,,,
