player_id,player_name,positions,4pt_fg,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
abram-smith,Abram Smith,RB,,,,,,,,,,,,,,1.0,37.0,
braylon-sanders,Braylon Sanders,WR,,,,,,,,,,,0.0,18.0,1.0,,,
briley-moore,Briley Moore,TE,,,,,,,,,,,1.0,20.0,1.0,1.0,24.0,
cornell-powell,Cornell Powell,WR,,,,,,,,,,,0.0,14.0,2.0,,,
defenders-dst,Defenders DST,DST,,1.0,,,1.0,,1.0,,,7.0,,,,,,4.0
defenders-k,Defenders K,K/QB,1.0,,5.0,144.0,,1.0,,1.0,173.0,,,,,0.0,25.0,
deon-jackson,Deon Jackson,RB,,,,,,,,,,,0.0,-2.0,1.0,1.0,70.0,
erik-ezukanma,Erik Ezukanma,WR,,,,,,,,,,,0.0,11.0,1.0,,,
jason-bean,Jason Bean,QB,,,,,,0.0,,3.0,352.0,,,,,0.0,14.0,
jordan-taamu,Jordan Ta\'amu,QB,,,,,,1.0,,1.0,173.0,,,,,0.0,26.0,
keke-coutee,Keke Coutee,WR,,,,,,,,,,,0.0,9.0,1.0,,,
mason-fairchild,Mason Fairchild,TE,,,,,,,,,,,0.0,34.0,2.0,,,
matt-mccrane,Matt McCrane,K,1.0,,5.0,144.0,,,,,,,,,,,,
ty-scott,Ty Scott,WR,,,,,,,,,,,0.0,49.0,4.0,,,
xazavian-valladay,Xazavian Valladay,RB,,,,,,,,,,,0.0,20.0,2.0,0.0,7.0,
