player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alize-mack,Alize Mack,TE,,,,,,,,,0.0,6.0,1.0,,,
antwane-wells,Antwane Wells,WR,,,,,,,,,1.0,21.0,3.0,0.0,16.0,
columbus-aviators-dst,COLUMBUS AVIATORS DST,K/DST,3.0,48.0,,1.0,1.0,,,17.0,,,,,,3.0
columbus-aviators-qb,COLUMBUS AVIATORS QB,QB,,,0.0,,,1.0,188.0,,,,,0.0,19.0,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,0.0,19.0,3.0,,,
jalan-mcclendon,Jalan McClendon,QB,,,0.0,,,1.0,187.0,,,,,0.0,17.0,
jalen-morton,Jalen Morton,QB,,,0.0,,,0.0,1.0,,,,,0.0,2.0,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,0.0,12.0,2.0,,,
john-lovett,John Lovett,RB,,,,,,,,,0.0,-3.0,1.0,1.0,63.0,
keke-chism,Keke Chism,WR,,,,,,,,,0.0,24.0,2.0,,,
tay-martin,Tay Martin,WR,,,,,,,,,0.0,103.0,6.0,,,
toa-taua,Toa Taua,RB,,,,,,,,,0.0,11.0,2.0,0.0,42.0,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,0.0,-5.0,1.0,1.0,39.0,
