player_id,player_name,positions,dst_touchdown,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
austin-reed,Austin Reed,QB,,,,0.0,,,3.0,376.0,,,,,0.0,8.0,
baylor-cupp,Baylor Cupp,TE,,,,,,,,,,0.0,20.0,1.0,,,
colton-theaker,Colton Theaker,K,,3.0,118.0,,,2.0,,,,,,,,,
curtis-hodges,Curtis Hodges,TE,,,,,,,,,,0.0,18.0,1.0,,,
dallas-renegades-qb,DALLAS RENEGADES QB,QB/DST/K,1.0,3.0,118.0,0.0,2.0,2.0,3.0,376.0,17.0,,,,0.0,8.0,3.0
denzel-mims,Denzel Mims,WR,,,,,,,,,,0.0,10.0,2.0,,,
drake-stoops,Drake Stoops,WR,,,,,,,,,,0.0,4.0,2.0,,,
ellis-merriweather,Ellis Merriweather,RB,,,,,,,,,,1.0,47.0,6.0,0.0,23.0,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,0.0,27.0,1.0,,,
greg-ward,Greg Ward,WR,,,,,,,,,,1.0,93.0,3.0,,,
lorenzo-lingard,Lorenzo Lingard,RB,,,,,,,,,,0.0,14.0,2.0,0.0,36.0,
seth-green,Seth Green,TE,,,,,,,,,,0.0,-1.0,1.0,,,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,1.0,144.0,7.0,0.0,5.0,
