player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
austin-mack,Austin Mack,WR,,,,,,,,0.0,51.0,5.0,,,
caleb-evans,Caleb EVANS,QB,,,,,,,,,,,1.0,5.0,
charleston-rambo,Charleston RAMBO,WR,,,,,,,,0.0,36.0,3.0,,,
cole-spieker,Cole SPIEKER,WR,,,,,,,,0.0,15.0,2.0,,,
david-dallaire,David DALLAIRE,RB/FB,,,,,,,,0.0,11.0,1.0,,,
davis-alexander,Davis ALEXANDER,RB/QB,,,1.0,,1.0,205.0,,,,,0.0,50.0,
jose-maltos,Jose MALTOS,K,3.0,61.0,,,,,,,,,,,
mtl-dst,MTL DST,DST,,,,2.0,,,10.0,,,,,,3.0
mtl-k,MTL K,K,3.0,61.0,,,,,,,,,,,
mtl-qb,MTL QB,QB,,,0.0,,0.0,0.0,,,,,0.0,0.0,
sean-thomas-erlington,Sean THOMAS ERLINGTON,RB,,,,,,,,,,,,86.0,
travis-theis,Travis THEIS,RB,,,,,,,,0.0,10.0,1.0,0.0,22.0,
tyler-snead,Tyler SNEAD,WR,,,,,,,,0.0,34.0,3.0,,,
tyson-philpot,Tyson PHILPOT,WR,,,,,,,,1.0,48.0,4.0,,,
