player_id,player_name,positions,def_int,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
aaron-grymes,Aaron Grymes,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branden-dozier,Branden Dozier,DB,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-rutley,Brandon Rutley,RB,,,,,,,,,,,,16.0,3.0,5.0,,31.0,31.0,,,,,,15.0,12.0,71.0,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,,,,,,,8.0,8.0,1.0,57.0,129.0,,,,,,,,,1.0,6.0,1.0,,,,,,
chris-edwards,Chris Edwards,DB/LB,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crezdon-butler,Crezdon Butler,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-mackie,David Mackie,RB/FB,,,,,,,,,,,,7.0,1.0,1.0,,7.0,7.0,,,,,,,,,,,,,,,,,
david-ménard,David Ménard,DB,,1.0,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duron-carter,Duron Carter,DB,,,,,,,,,,,,10.0,5.0,9.0,,11.0,32.0,,,,,,,,,,,,,,,,,
garry-peters,Garry Peters,DB,1.0,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isaiah-guzylak-messam,Isaiah Guzylak-Messam,DB/LB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,,,,10.0,1.0,1.0,,10.0,10.0,,,,,,,,,,,,,,,,,
jonathan-newsome,Jonathan Newsome,DB/DE/DL,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-bartel,Josh Bartel,P/K,,,,,,,,,,,,,,,,,,48.0,5.0,4.0,32.0,197.0,,,,,,,,,,,,
junior-luke,Junior Luke,DB/DL,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemar-durant,Lemar Durant,WR,,,,,,,,,,,,10.0,1.0,1.0,,4.0,10.0,,,,,,,,,,,,,,,,,
maleki-harris,Maleki Harris,LB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-reilly,Mike Reilly,QB,,,,,,29.0,20.0,15.0,2.0,1.0,230.0,,,,,,,,,,,,7.0,12.0,22.0,,,,,,,,,
odell-willis,Odell Willis,DB/DE,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryan-lankford,Ryan Lankford,WR,,,,,,,,,,,,,,,,,,27.0,4.0,,,88.0,1.0,11.0,11.0,,,,,,,,,
sergio-castillo,Sergio CASTILLO,K,,,,,,,,,,,,,,,,,,65.0,3.0,3.0,44.0,174.0,,,,,10.0,,3.0,3.0,47.0,10.0,1.0,1.0
shaquille-johnson,Shaquille Johnson,WR,,,,,,,,,,,,11.0,1.0,3.0,,4.0,11.0,,,,,,,,,,,,,,,,,
shawn-lemon,Shawn Lemon,DB/DE/DL,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tj-lee,T.J. Lee,DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wayne-moore,Wayne Moore,RB,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,8.0,8.0,,,,,,,,,
