player_id,player_name,positions,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alex-ellis,Alex Ellis,TE,,,,,,,,,,0.0,22.0,2.0,,,
brandon-smith,Brandon Smith,OT/DB/WR/LB,,,,,,,,,,0.0,0.0,0.0,,,
camron-harris,Cam\'Ron Harris,RB,,,,,,,,,,,,,1.0,39.0,
chris-rowland,Chris Rowland,WR,,,,,,,,,,0.0,27.0,1.0,,,
darius-hagans,Darius Hagans,RB,,,,,,,,,,,,,0.0,63.0,
defenders-dst,Defenders DST,DST,,1.0,,1.0,,,,,12.0,,,,,,2.0
defenders-k,Defenders K,K/QB,112.0,,0.0,,1.0,1.0,1.0,179.0,,,,,0.0,-7.0,
jordan-taamu-2,Jordan Ta’amu,QB,,,0.0,,1.0,,1.0,179.0,,,,,0.0,-7.0,
keke-coutee,Keke Coutee,WR,,,,,,,,,,0.0,3.0,1.0,0.0,11.0,
kelvin-harmon,Kelvin Harmon,WR,,,,,,,,,,1.0,101.0,8.0,,,
matthew-mccrane,Matthew McCrane,K,112.0,,,,,1.0,,,,,,,,,
ty-scott,Ty Scott,WR,,,,,,,,,,0.0,23.0,1.0,,,
