player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
cgy-dst,CGY DST,DST,,,,,,43.0,,,,,,5.0,
cgy-k,CGY K,K,1.0,105.0,,,,,,,,,,,
cgy-qb,CGY QB,QB,,,2.0,4.0,450.0,,,,,,10.0,,
clark-barnes,Clark BARNES,WR,,,,,,,1.0,87.0,5.0,,,,
dedrick-mills,Dedrick MILLS,RB,,,,,,,0.0,9.0,2.0,0.0,21.0,,
jake-maier,Jake Maier,QB,,,2.0,4.0,450.0,,,,,0.0,10.0,,
james-vaughters,James Vaughters,DB/DL,,,,,,,,,,,,,1.0
marken-michel,Marken Michel,WR,,,,,,,2.0,134.0,4.0,,,,
micah-awe,Micah Awe,LB,,,,,,,,,,,,,4.0
reggie-begelton,Reggie BEGELTON,WR,,,,,,,0.0,80.0,7.0,,,,
rene-paredes,René Paredes,K,1.0,105.0,,,,,,,,,,,
rysen-john,Rysen JOHN,WR,,,,,,,0.0,0.0,0.0,,,,
titus-wall,Titus Wall,DB,,,,,,,,,,,,,11.0
tommy-stevens,Tommy STEVENS,QB,,,0.0,0.0,0.0,,,,,1.0,7.0,,
tommylee-lewis,Tommylee Lewis,WR,,,,,,,0.0,7.0,2.0,,,,
tre-odoms-dukes,Tre Odoms-Dukes,WR,,,,,,,1.0,101.0,6.0,,,,
