player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,,,2.0,105.0,,
adarius-pickett,Adarius PICKETT,DB/LB,,,,0.0,,,,,,,,,,0.0,9.0
alexandre-gagne,Alexandre Gagné,FB/RB,,,,0.0,,,,,,,,,,0.0,1.0
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,0.0,21.0,,
benoit-marion,Benoit MARION,DB/DL,,,,0.0,,,,,,,,,,0.0,0.0
boris-bede,Boris Bede,K,3.0,137.0,,0.0,1.0,,,,,,,,,0.0,0.0
brandon-barlow,Brandon BARLOW,DB/DL,,,,0.0,,,,,,,,,,1.0,4.0
brian-harelimana,Brian HARELIMANA,LB,,,,0.0,,,,,,,,,,0.0,0.0
bryce-notree,Bryce Notree,LB,,,,0.0,,,,,,,,,,0.0,5.0
caleb-evans,Caleb EVANS,QB,,,1.0,,,0.0,56.0,,,,,0.0,3.0,,
cameron-dukes,Cameron Dukes,QB,,,,,,,,,,,,1.0,1.0,,
chad-kelly,Chad KELLY,QB,,,0.0,,,0.0,278.0,,,,,1.0,6.0,,
chandler-worthy,Chandler Worthy,WR,,,,,,,,,0.0,59.0,4.0,,,,
chris-moore,Chris Moore,LB,,,,0.0,,,,,,,,,,0.0,1.0
ciante-evans,Ciante Evans,DB,,,,0.0,,,,,,,,,,0.0,4.0
cody-fajardo,Cody FAJARDO,QB,,,0.0,,,1.0,236.0,,,,,0.0,5.0,,
cole-spieker,Cole SPIEKER,WR,,,,0.0,,,,,1.0,52.0,4.0,,,0.0,1.0
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,0.0,39.0,4.0,,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,,,0.0,41.0,3.0,,,,
daniel-adeboboye,Daniel ADEBOBOYE,RB,,,,,,,,,,,,0.0,2.0,,
david-cote,David Côté,K,1.0,10.0,,,,,,,,,,,,,
david-ungerer-iii,David UNGERER III,WR,,,,,,,,,,28.0,3.0,,,,
dejon-brissett,Dejon BRISSETT,WR,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0
dewayne-hendrix,Dewayne HENDRIX,DB/DL,,,,0.0,,,,,,,,,,0.0,1.0
folarin-orimolade,Folarin ORIMOLADE,DB/DL,,,,0.0,,,,,,,,,,0.0,1.0
frederic-chagnon,Frederic Chagnon,LB,,,,0.0,,,,,,,,,,0.0,2.0
jack-cassar,Jack CASSAR,LB,,,,0.0,,,,,,,,,,0.0,0.0
jake-harty,Jake Harty,WR,,,,,,,,,0.0,23.0,2.0,,,,
james-tuck,James Tuck,FB,,,,,,,,,0.0,2.0,1.0,,,,
jeshrun-antwi,Jeshrun ANTWI,RB,,,,,,,,,0.0,6.0,1.0,,,,
jonathan-edouard,Jonathan Edouard,DB,,,,0.0,,,,,,,,,,0.0,0.0
jordan-williams,Jordan Williams,DE/DL/LB/MLB/OT/WR,,,,0.0,,,,,,,,,,0.0,2.0
kabion-ento,Kabion ENTO,DB,,,,0.0,,,,,,,,,,0.0,5.0
kristian-matte,Kristian Matte,G,,,,0.0,,,,,,,,,,0.0,1.0
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,,,63.0,4.0,,,,
mtl-dst,MTL DST,DST,,,,,,,,39.0,,,,,,0.0,
mtl-k,MTL K,K,1.0,10.0,,,,,,,,,,,,,
mtl-qb,MTL QB,QB,,,,,,1.0,286.0,,,,,,8.0,,
mason-pierce,Mason Pierce,DB,,,,0.0,,,,,,,,,,0.0,2.0
mustafa-johnson,Mustafa JOHNSON,DB/DL,,,,0.0,,,,,,,,,,0.0,4.0
reggie-stubblefield,Reggie Stubblefield,DB,,,,0.0,,,,,,,,,,0.0,12.0
robbie-smith,Robbie SMITH,DL,,,,0.0,,,,,,,,,,1.0,2.0
royce-metchie,Royce METCHIE,DB,,,,0.0,,,,,,,,,,0.0,5.0
sam-acheampong,Sam Acheampong,DL,,,,0.0,,,,,,,,,,0.0,1.0
shawn-oakman,Shawn Oakman,DB/DL,,,,0.0,,,,,,,,,,0.0,1.0
tor-dst,TOR DST,DST,,,,,,,,10.0,,,,,,2.0,
tor-k,TOR K,K,3.0,137.0,,,1.0,,,,,,,,,,
tor-qb,TOR QB,QB,,,,,,,278.0,,,,,1.0,6.0,,
tarvarus-mcfadden,Tarvarus MCFADDEN,DB,,,,0.0,,,,,,,,,,0.0,2.0
tommy-nield,Tommy Nield,WR,,,,,,,,,0.0,84.0,6.0,,,,
trevor-hoyte,Trevor Hoyte,LB,,,,0.0,,,,,,,,,,0.0,0.0
tyler-snead,Tyler SNEAD,WR,,,,,,,,,0.0,30.0,2.0,,,,
tyrice-beverette,Tyrice BEVERETTE,LB,,,,0.0,,,,,,,,,,0.0,4.0
tyson-philpot,Tyson PHILPOT,WR,,,,,,,,,0.0,36.0,4.0,,,,
walter-fletcher,Walter FLETCHER,RB,,,,,,,,,0.0,52.0,5.0,0.0,10.0,,
william-stanback,William STANBACK,RB,,,,,,,,,,8.0,2.0,,6.0,,
wynton-mcmanis,Wynton MCMANIS,LB,,,,0.0,,,,,,,,,,0.0,3.0
zach-lindley,Zach Lindley,DB/LB/S,,,,0.0,,,,,,,,,,0.0,0.0
