player_id,player_name,positions,fg_made,pass_td,pat_made,recv_td,rush_td
adrian-jefferson,Adrian Jefferson,RB,,,,,2.0
brandon-munoz,Brandon Munoz,DL,,4.0,,,1.0
bryce-holliday,Bryce Holliday,QB,,,,1.0,
damian-francis,Damian Francis,ATH,,,,3.0,
jayvon-johnson,Jayvon Johnson,LB,,,,1.0,
jerry-harris-jr,Jerry Harris Jr.,OL,,,,1.0,
justin-clarkson,Justin Clarkson,WR,,,,,1.0
justin-youmes,Justin Youmes,OL,,,,1.0,
letrell-golden,Letrell Golden,OL,,4.0,1.0,,
tyre-williams,Tyre Williams,,,,,1.0,
xzavier-crawford-injured-reserve,Xzavier Crawford (Injured Reserve),WR,,,,,1.0
zachary-schleuger,Zachary Schleuger,LB,1.0,,,,
zuri-davis,Zuri Davis,WR,2.0,,,,
