player_id,player_name,positions,extra_points,field_goal_yards,interceptions_lost,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anthony-gosselin,Anthony GOSSELIN,RB/FB,,,,,,,,,7.0,1.0,,,
bralon-addison,Bralon ADDISON,WR,,,,,,,,1.0,69.0,6.0,,16.0,
daniel-adeboboye,Daniel ADEBOBOYE,RB,,,,,,,,,7.0,2.0,,43.0,
devonte-dedmon,Devonte DEDMON,RB/WR,,,,,,,,,-2.0,1.0,,,
dru-brown,Dru Brown,RB/QB,,,2.0,,2.0,406.0,,,,,,4.0,
eugene-lewis,Eugene LEWIS,WR,,,,,,,,,155.0,9.0,,,
justin-hardy,Justin HARDY,WR,,,,,,,,,101.0,7.0,,,
kalil-pimpleton,Kalil PIMPLETON,WR,,,,,,,,1.0,33.0,3.0,,,
keelan-white,Keelan WHITE,WR,,,,,,,,,31.0,3.0,,,
ott-dst,OTT DST,DST,,,1.0,,,,26.0,,,,,,4.0
ott-k,OTT K,K,2.0,23.0,,2.0,,,,,,,,,
ott-qb,OTT QB,QB,,,2.0,,2.0,406.0,,,,,0.0,4.0,
