player_id,player_name,positions,extra_points,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,9.0,1.0,,43.0,
dhel-duncan-busby,Dhel Duncan-Busby,WR,,,,,,,,0.0,33.0,3.0,,,
jack-coan,Jack Coan,QB,,,,,,,,,,,2.0,24.0,
jake-maier,Jake Maier,QB,,,1.0,,0.0,154.0,,,,,0.0,9.0,
kian-schaffer-baker,Kian SCHAFFER-BAKER,WR,,,,,,,,0.0,69.0,6.0,,,
mitchell-picton,Mitchell PICTON,WR,,,,,,,,0.0,18.0,2.0,,,
ssk-dst,SSK DST,DST,,,,1.0,,,27.0,,,,,,2.0
ssk-k,SSK K,K,2.0,72.0,,,,,,,,,,,
ssk-qb,SSK QB,QB,,,1.0,,0.0,266.0,,,,,2.0,46.0,
thomas-bertrand-hudon,Thomas Bertrand-Hudon,RB,,,,,,,,0.0,12.0,1.0,0.0,36.0,
tommy-nield,Tommy Nield,WR,,,,,,,,0.0,75.0,8.0,,,
trevor-harris,Trevor HARRIS,QB,,,0.0,,0.0,112.0,,,,,0.0,13.0,
