player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
ayden-eberhardt,Ayden EBERHARDT,WR,,,,,,,,0.0,41.0,2.0,,,
bc-dst,BC DST,DST,,,,1.0,,,22.0,,,,,,4.0
bc-k,BC K,K,2.0,156.0,,,,,,,,,,,
bc-qb,BC QB,QB,,,0.0,,0.0,264.0,,,,,2.0,31.0,
dakota-prukop,Dakota Prukop,QB,,,,,,,,,,,0.0,1.0,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,0.0,81.0,5.0,,,
justin-mcinnis,Justin MCINNIS,WR,,,,,,,,0.0,38.0,3.0,,,
keon-hatcher,Keon HATCHER,WR,,,,,,,,0.0,38.0,2.0,,,
kieran-poissant,Kieran POISSANT,WR,,,,,,,,0.0,18.0,2.0,,,
nathan-rourke,Nathan ROURKE,QB,,,0.0,,0.0,264.0,,,,,2.0,30.0,
sean-whyte,Sean WHYTE,K,2.0,156.0,,,,,,,,,,,
stanley-berryhill,Stanley BERRYHILL,WR,,,,,,,,0.0,26.0,3.0,,,
vernon-adams-jr,Vernon ADAMS JR.,QB,,,1.0,,1.0,238.0,,,,,1.0,37.0,
william-stanback,William STANBACK,RB,,,,,,,,0.0,11.0,2.0,0.0,103.0,
