player_id,player_name,positions,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
abram-smith,Abram Smith,RB,,,,,,,,0.0,0.0,0.0,0.0,37.0,
ben-bresnahan,Ben Bresnahan,TE,,,,,,,,0.0,7.0,1.0,,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,,0.0,6.0,1.0,,,
chris-rowland,Chris Rowland,WR,,,,,,,,1.0,40.0,3.0,0.0,8.0,
cornell-powell,Cornell Powell,WR,,,,,,,,0.0,23.0,2.0,,,
darius-hagans,Darius Hagans,RB,,,,,,,,,,,0.0,2.0,
defenders-dst,Defenders DST,DST,,1.0,,1.0,,,11.0,,,,,,8.0
defenders-k,Defenders K,QB/K,150.0,,1.0,,1.0,211.0,,,,,0.0,-3.0,
deon-jackson,Deon Jackson,RB,,,,,,,,0.0,0.0,0.0,0.0,42.0,
javon-antonio,Javon Antonio,WR,,,,,,,,0.0,36.0,3.0,,,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,0.0,38.0,2.0,,,
jordan-taamu,Jordan Ta\'amu,QB,,,1.0,,1.0,211.0,,,,,0.0,-1.0,
matthew-mccrane,Matthew McCrane,K,150.0,,,,,,,,,,,,
mike-diliello,Mike DiLiello,QB,,,,,,,,,,,0.0,-2.0,
ty-scott,Ty Scott,WR,,,,,,,,0.0,61.0,5.0,,,
