player_id,player_name,positions,def_int,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pr,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adam-bighill,Adam BIGHILL,LB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,,,12.0,8.0,8.0,,41.0,44.0,,,,,,,19.0,17.0,,100.0,,,,,,,,,,,
ante-milanovic-litre,Ante MILANOVIC-LITRE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,,11.0,,,,,,,,,,,
anthony-gaitor,Anthony Gaitor,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chandler-fenner,Chandler Fenner,DB,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-casher,Chris Casher,DB/DE,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-matthews,Chris Matthews,WR,,,,,,,,,,,,,,20.0,3.0,4.0,,4.0,33.0,,,,,,,,,,,,,,,,,,,,,
chris-streveler,Chris STREVELER,QB,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,,15.0,,,,,,,,,,,
cordarro-law,Cordarro Law,DB/DL,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cory-greenwood,Cory Greenwood,LB,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
craig-roh,Craig Roh,DB/DL,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drake-nevis,Drake Nevis,DB/DL,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drew-wolitarsky,Drew WOLITARSKY,WR,,,,,,,,,,,,,,13.0,1.0,3.0,,2.0,13.0,,,,,,,,,,,,,,,,,,,,,
eric-rogers,Eric Rogers,WR,,,2.0,2.0,,,,,,,,,,17.0,6.0,9.0,1.0,22.0,58.0,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
jabar-westerman,Jabar Westerman,DB/DL,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-thomas,Jake Thomas,DB/DT,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamar-wall,Jamar Wall,DB,,1.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
janarion-grant,Janarion GRANT,WR,,,,,,,,,,,,,,,,,,,,28.0,4.0,,,2.0,84.0,,,,,,2.0,12.0,,2.0,,,,,,
jeff-hecht,Jeff Hecht,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-kongbo,Jonathan KONGBO,DB/DE/DL,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-medlock,Justin Medlock,K,,,,,,,,,,,,,,,,,,,,74.0,3.0,3.0,68.0,,212.0,,,,,,,14.0,,,4.0,4.0,55.0,14.0,2.0,2.0
kenny-lawler,Kenny Lawler,WR,,,,,,,,,,,,,,29.0,2.0,3.0,,11.0,46.0,,,,,,,,,,,,,,,,,,,,,
kyrie-wilson,Kyrie WILSON,LB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucky-whitehead,Lucky Whitehead,WR,,,,,,,,,,,,,,23.0,3.0,3.0,,27.0,33.0,,,,,,,,,,,,,,,,,,,,,
marcus-sayles,Marcus SAYLES,DB,1.0,1.0,8.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
markeith-ambles,Markeith Ambles,WR,,,,,,,,,,,,,,26.0,3.0,4.0,,20.0,49.0,,,,,,,,,,,,,,,,,,,,,
matt-nichols,Matt Nichols,QB,,,,,,22.0,18.0,,29.0,7.0,1.0,,177.0,,,,,,,,,,,,,2.0,4.0,,4.0,,,,,,,,,,,
mercy-maston,Mercy Maston,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-klukas,Michael Klukas,WR,,,,,,,,,,,,,,5.0,2.0,4.0,,7.0,9.0,,,,,,,,,,,,,,,,,,,,,
mike-rose,Mike Rose,DB/DL/LB/MLB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nate-holley,Nate Holley,LB/S/SAF,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nic-demski,Nic DEMSKI,WR,,,,,,,,,,,,,,8.0,1.0,1.0,,8.0,8.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
nick-arbuckle,Nick ARBUCKLE,QB,,,,,,35.0,22.0,2.0,42.0,10.0,2.0,1.0,260.0,,,,,,,,,,,,,5.0,,2.0,17.0,,,12.0,2.0,2.0,,,,,,
raheem-wilson,Raheem Wilson,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reggie-begelton,Reggie BEGELTON,WR,,,,,,,,,,,,,,42.0,3.0,7.0,,41.0,70.0,,,,,,,,,,,,,,,,,,,,,
rene-paredes,René PAREDES,K,,,,,,,,,,,,,,,,,,,,71.0,4.0,4.0,84.0,,270.0,,,,,,,6.0,,,1.0,1.0,47.0,6.0,3.0,3.0
richard-sindani,Richard Sindani,WR,,,,,,,,,,,,,,25.0,3.0,5.0,,7.0,34.0,,,,,,,,,,,,,,,,,,,,,
rob-maver,Rob Maver,K/P,,,,,,,,,,,,,,,,,,,,51.0,7.0,7.0,222.0,2.0,311.0,,,,,,,,,,,,,,,
romar-morris,Romar Morris,RB,,,,,,,,,,,,,,13.0,2.0,3.0,,9.0,9.0,,,,,,,3.0,6.0,,7.0,,,,,,,,,,,
royce-metchie,Royce METCHIE,DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
