player_id,player_name,positions,conversions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
ante-litre,Ante Litre,RB,,,,,,,,,0.0,21.0,2.0,0.0,6.0,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,0.0,,0.0,212.0,,0.0,3.0,1.0,0.0,0.0,
greg-bell,Greg Bell,RB,,,,,,,,,0.0,24.0,5.0,1.0,40.0,
ham-dst,HAM DST,DST,,,,,0.0,,,40.0,,,,,,0.0
ham-k,HAM K,K,,1.0,48.0,,,,,,,,,,,
ham-qb,HAM QB,QB,1.0,,,1.0,,2.0,318.0,,,,,0.0,3.0,
james-tuck,James Tuck,FB,,,,,,,,,0.0,4.0,1.0,,,
jevoni-robinson,Jevoni Robinson,WR/TE,,,,,,,,,0.0,3.0,2.0,,,
kiondre-smith,Kiondre SMITH,WR,,,,,,,,,1.0,92.0,8.0,,,
marc-liegghio,Marc LIEGGHIO,K,,1.0,48.0,,,,,,,,,,,
shemar-bridges,Shemar BRIDGES,WR,,,,,,,,,0.0,27.0,4.0,,,
steven-dunbar-jr,Steven Dunbar Jr.,WR,,,,,,,,,0.0,24.0,2.0,,,
tim-white,Tim White,WR,1.0,,,0.0,,0.0,3.0,,0.0,74.0,7.0,,,
tyler-ternowski,Tyler TERNOWSKI,WR,,,,,,,,,0.0,33.0,2.0,,,
