player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,,,,48.0,4.0,8.0,,10.0,70.0,,,,,,,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,80.0,4.0,4.0,120.0,268.0,,,,,17.0,,5.0,5.0,45.0,16.0,1.0,1.0
branden-dozier,Branden Dozier,DB,1.0,63.0,,6.0,6.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-ackie,Chris Ackie,DB/LB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-williams,Chris Williams,WR,,,,,,,,,,,,,,,,3.0,6.0,1.0,58.0,130.0,,,,,,1.0,-2.0,-2.0,1.0,6.0,1.0,,,,,,
dominique-ellis,Dominique Ellis,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drew-willy,Drew Willy,QB,,,,,,,,15.0,8.0,,13.0,2.0,1.0,157.0,,,,,,,,,,,,3.0,7.0,12.0,,,,,,,,,
ernest-jackson,Ernest Jackson,WR,,,,,,,,,,,,,,,12.0,2.0,3.0,,11.0,18.0,,,,,,,,,,,,,,,,,
eugene-lewis,Eugene LEWIS,WR,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
henoc-muamba,Henoc Muamba,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamaal-westerman,Jamaal Westerman,DB/DE,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeff-mathews,Jeff Mathews,QB,,,,,,,,12.0,8.0,47.0,10.0,1.0,,98.0,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,
jermaine-robinson,Jermaine Robinson,DB,1.0,19.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jesse-joseph,Jesse Joseph,DL/DB,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joe-burnett,Joe Burnett,DB/LB,1.0,31.0,,2.0,2.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-bowman,John Bowman,DB/DE,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joshua-stanford,Joshua Stanford,WR,,,,,,,,,,,,,,,7.0,1.0,4.0,,,7.0,,,,,,,,,,,,,,,,,
mitchell-white,Mitchell White,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
najee-murray,Najee Murray,CB/DB/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick-lavoie,Patrick Lavoie,FB/RB,,,,,,,,,,,,,,,16.0,1.0,2.0,,5.0,16.0,,,,,,,,,,,,,,,,,
sean-jamieson,Sean Jamieson,P/OL,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefan-logan,Stefan Logan,RB,,,,,,,,,,,,,,,5.0,2.0,2.0,,3.0,3.0,15.0,1.0,,,15.0,,,,,,,,,,,,
tommie-campbell,Tommie Campbell,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyquwan-glass,Tyquwan Glass,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyrell-sutton,Tyrell Sutton,RB,,,,,,,,,,,,,,,11.0,4.0,4.0,,18.0,18.0,,,,,,11.0,7.0,20.0,,,,,,,,,
woody-baron,Woody Baron,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
