player_id,player_name,positions,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
austin-proehl,Austin Proehl,WR,,,,,,,,,12.0,2.0,,,,
battlehawks-dst,Battlehawks DST,DST,1.0,,,,,,,,,,,,2.0,
battlehawks-qb,Battlehawks QB,QB,,2.0,,,,1.0,194.0,,,,,51.0,,
brian-burt,Brian Burt,RB,,,,,,,,,18.0,2.0,,57.0,,
brian-hill,Brian Hill,RB,,,,1.0,,,,,37.0,6.0,,35.0,,
cj-avery,C.J. Avery,LB,1.0,,,,2.0,,,,,,,,,7.0
cam-sutton,Cam Sutton,TE,,,,,,,,,4.0,1.0,,,,
carson-wells,Carson Wells,OLB/LB,,,,,2.0,,,,,,,,0.5,8.0
cinque-sweeting,Cinque Sweeting,WR,,,,,,,,,,,,8.0,,
dj-calhoun,D.J. Calhoun,LB,,,,,,,,,,,,,,2.0
darrius-shepherd,Darrius Shepherd,WR,,,,,,,,,23.0,2.0,,,,
deontay-anderson,Deontay Anderson,SAF/DB,,,,,,,,,,,,,,4.0
elijah-hamilton,Elijah Hamilton,DB,,,,,1.0,,,,,,,,,2.0
elorm-lumor,Elorm Lumor,DL/DE,,,,,,,,,,,,,,1.0
freedom-akinmoladun,Freedom Akinmoladun,DE/DL,,,,,,,,,,,,,,2.0
gary-jennings,Gary Jennings,WR,,,,,,,,1.0,64.0,1.0,,,,
gelen-robinson,Gelen Robinson,DL/DB,,,,,,,,,,,,,,3.0
geronimo-allison,Geronimo Allison,WR,,,,,,,,1.0,44.0,2.0,,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,1.0,36.0,3.0,,,,
jahsheem-martin,Jah\'Sheem Martin,DL,,,,,,,,,,,,,0.5,2.0
jalan-mcclendon,Jalan McClendon,QB,,,,1.0,,1.0,159.0,,,,,62.0,,
jawuan-johnson,Jawuan Johnson,LB/DB,,,,,,,,,,,,,,2.0
john-lovett,John Lovett,RB,,,,,,,,,,,1.0,30.0,,
kevin-atkins,Kevin Atkins,DL/DT,,,,,,,,,,,,,,2.0
keylon-kennedy,Keylon Kennedy,CB/DB,,,,,1.0,,,,,,,,,5.0
laron-stokes,LaRon Stokes,DL/DT/DE,,,,,,,,,,,,,,2.0
lacale-london,Lacale London,DL/DE,1.0,,,,,,,,,,,,,2.0
lakiem-williams,Lakiem Williams,LB,,,,,,,,,,,,,,6.0
lavert-hill,Lavert Hill,CB/DB,,,1.0,,1.0,,,,,,,,,1.0
lukas-denis,Lukas Denis,S/FS/DB,,,,,,,,,,,,,,3.0
manny-wilkins,Manny Wilkins,QB,,,,,,,,,,,,,,1.0
marcell-ateman,Marcell Ateman,WR,,,,,,,,,67.0,4.0,,,,
martavis-bryant,Martavis Bryant,WR,,,,,,,,,39.0,1.0,,,,
mataeo-durant,Mataeo Durant,RB,,,,,,,,,12.0,1.0,,,,
mathew-sexton,Mathew Sexton,WR,,,,,,,,,27.0,3.0,,8.0,,
maurice-smith,Maurice Smith,DB,,,1.0,,1.0,,,,,,,,0.5,4.0
mike-hampton,Mike Hampton,CB/DB,,,,,,,,,,,,,,3.0
mike-rose,Mike Rose,DL/DB/LB/MLB,,,,,,,,,,,,,,2.0
nate-meadors,Nate Meadors,FS/DB,,,,,,,,,,,,,,2.0
nick-tiano,Nick Tiano,QB,,2.0,,,,1.0,194.0,,,,,51.0,,
pita-taumoepenu,Pita Taumoepenu,OLB/LB,,,,,,,,,,,,,,1.0
rod-smith,Rod Smith,RB,,,,,,,,,20.0,3.0,,51.0,,
sean-price,Sean Price,TE/WR,,,,,,,,,7.0,1.0,,,,
sebastian-brandt,Sebastian Brandt,CB/DB,,,,,1.0,,,,,,,,,2.0
silas-kelly,Silas Kelly,LB,,,,,,,,,,,,,,4.0
stephen-roberts,Stephen Roberts,DB,,,,,,,,,,,,,,3.0
sterling-hofrichter,Sterling Hofrichter,P,,,,,,1.0,64.0,,,,,,,
steven-mitchell-jr,Steven Mitchell Jr.,WR,,,,,,,,,7.0,1.0,,,,
travis-feeney,Travis Feeney,DL/OLB/LB/DB,,,,,1.0,,,,,,,,1.0,8.0
tre-watson,Tre Watson,LB/DB,,,,,,,,,,,,,0.5,6.0
vipers-dst,Vipers DST,DST,1.0,,1.0,,,,,,,,,,1.0,
vipers-qb,Vipers QB,QB,,1.0,,1.0,,1.0,159.0,,,,,62.0,,
willie-harvey,Willie Harvey,LB,,,,,,,,,,,,,,9.0
