player_id,player_name,positions,interceptions_lost,interceptions_made,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-hendy,A.J. Hendy,DB/FS,,,,,,,,,,,,,3.0
adrian-killins,Adrian Killins,RB,,,,,,0.0,,,,,2.0,,
ajene-harris,Ajene Harris,DB/CB,,1.0,,,,,,,,,3.0,,
ben-putman,Ben Putman,WR,,,,,,,,65.0,4.0,,,,
brandon-arconado,Brandon Arconado,WR,,,,,,,,17.0,2.0,,,,
brandon-silvers,Brandon Silvers,QB,,,,,2.0,173.0,,,,,-7.0,,
brycen-alleyne,Brycen Alleyne,RB,,,,,,,,4.0,1.0,,10.0,,
cj-brewer,C.J. Brewer,DL/DT,,,,,,,,,,,,0.5,3.0
cedric-byrd,Cedric Byrd,WR,,,,,,,1.0,19.0,3.0,,,,
chauncey-rivers,Chauncey Rivers,DL,,,,,,,,,,,,,2.0
cole-mcdonald,Cole McDonald,QB,,,,,,,,,,,39.0,,
deveon-smith,De\'Veon Smith,RB,,,,,,,,32.0,4.0,,16.0,,1.0
dejoun-lee,Dejoun Lee,RB,,,,,,,,,,,6.0,,
deontay-burnett,Deontay Burnett,WR,,,1.0,,,,,4.0,1.0,,,,
donald-payne,Donald Payne,OLB/LB,,,,1.0,,,,,,,,,7.0
doug-costin,Doug Costin,DL/DT,,,,1.0,,,,,,,,,2.0
drew-plitt,Drew Plitt,QB,2.0,,1.0,,2.0,120.0,,,,,14.0,,
garrett-owens,Garrett Owens,TE,,,,,,,,,,,2.0,,
john-daka,John Daka,LB/DL,,,,,,,,,,,,1.0,3.0
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,56.0,2.0,,,,
jordan-smallwood,Jordan Smallwood,WR,,,,,,,,4.0,1.0,,,,
keith-ford,Keith Ford,RB,,,,,,,,,,,11.0,,
lujuan-winningham,LuJuan Winningham,WR,,,,,,,1.0,4.0,1.0,,,,
max-borghi,Max Borghi,RB,,,,,,,,20.0,2.0,1.0,27.0,,
nate-becker,Nate Becker,TE,,,,,,,1.0,13.0,1.0,,,,
nick-holley,Nick Holley,RB/WR,,,,,,,1.0,5.0,1.0,,,,
raleigh-texada,Raleigh Texada,DB,,,,,,,,,,,,,3.0
renegades-qb,Renegades QB,QB,2.0,,1.0,,2.0,120.0,,,,,14.0,,
roughnecks-qb,Roughnecks QB,QB,,,,,2.0,173.0,,,,,32.0,,
sal-cannella,Sal Cannella,TE,,,,,,,,38.0,4.0,,,,
sean-modster,Sean Modster,WR,,,,,,,,12.0,2.0,,,,
tavante-beckett,Tavante Beckett,LB,,,,1.0,,,,,,,,,5.0
will-clarke,Will Clarke,OLB/DL/DT,,,,,,,,,,,,,1.0
will-hill,Will Hill,DB,,,,,,,,,,,,,3.0
