player_id,player_name,positions,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
cody-fajardo,Cody FAJARDO,QB,2.0,,0.0,41.0,,,,,0.0,5.0,
d39haquille-williams,D&#39;haquille Williams,WR,,,,,,0.0,42.0,2.0,,,
frankie-hickson,Frankie Hickson,RB,,,,,,0.0,0.0,0.0,0.0,7.0,
jamal-morrow,Jamal Morrow,RB,,,,,,0.0,28.0,4.0,0.0,34.0,
justin-mcinnis,Justin MCINNIS,WR,,,,,,1.0,111.0,6.0,,,
kian-schaffer-baker,Kian SCHAFFER-BAKER,WR/RB,,,,,,0.0,18.0,2.0,,,
mason-fine,Mason Fine,QB,1.0,,1.0,210.0,,,,,0.0,20.0,
ssk-dst,SSK DST,DST,,2.0,,,28.0,,,,,,1.0
ssk-qb,SSK QB,QB,0.0,,3.0,239.0,,,,,,,
tevin-jones,Tevin JONES,WR,,,,,,0.0,28.0,4.0,,,
wesley-lewis,Wesley Lewis,WR,,,,,,0.0,8.0,2.0,,,
