player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_fr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adrian-tracy,Adrian Tracy,DL/DB,,,1.0,1.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-banks,Brandon Banks,WR,,,,1.0,1.0,,,,,,,,,,,,6.0,13.0,1.0,43.0,98.0,12.0,3.0,,,23.0,,,,,,1.0,6.0,,1.0,,,,,,
brian-tyms,Brian Tyms,WR,,,,,,,,,,,,,,,,16.0,2.0,2.0,,3.0,23.0,,,,,,,,,,,,,,,,,,,,
cj-gable,C.J. Gable,RB,,,,,,,,,,,,,,,,7.0,2.0,4.0,,12.0,12.0,22.0,3.0,,,47.0,6.0,15.0,1.0,43.0,,,6.0,1.0,1.0,,,,,,
cariel-brooks,Cariel Brooks,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courtney-stephen,Courtney Stephen,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
davon-coleman,Davon Coleman,DT/DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demond-washington,Demond Washington,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominique-ellis,Dominique Ellis,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emanuel-davis,Emanuel Davis,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
felix-faubert-lussier,Felix Faubert-Lussier,WR,,,,,,,,1.0,,,,,,,,,,1.0,,,,12.0,1.0,,,12.0,,,,,1.0,,6.0,,1.0,,,,,,
giovanni-aprile,Giovanni Aprile,WR,,,,,,,,,,,,,,,,,,,,,,38.0,1.0,,,38.0,,,,,,,,,,,,,,,
jalen-saunders,Jalen Saunders,WR,,,,,,,,,,,,,,,,16.0,2.0,4.0,,13.0,29.0,,,,,,,,,,,,,,,,,,,,
jason-neill,Jason Neill,DT/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,,,,33.0,19.0,1.0,13.0,1.0,1.0,219.0,,,,,,,,,,,,2.0,8.0,,11.0,,,,,,,,,,,
justin-capicciotti,Justin Capicciotti,DE/DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larry-dean,Larry Dean,LB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luke-tasker,Luke Tasker,WR,,,,,,,,,,,,,,,,19.0,3.0,3.0,,6.0,32.0,,,,,,,,,,,,,,,,,,,,
mercer-timmis,Mercer Timmis,RB,,,,,,,,,,,,,,,,8.0,2.0,2.0,,13.0,13.0,25.0,1.0,,,25.0,2.0,4.0,,3.0,,,,,,,,,,,
mike-jones,Mike Jones,WR/RB,,,,,,,,,,,,,,,,11.0,2.0,4.0,,-3.0,12.0,,,,,,,,,,,,,,,,,,,,
osagie-odiase,Osagie Odiase,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
richard-leonard,Richard Leonard,DB,1.0,30.0,,7.0,7.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sergio-castillo,Sergio CASTILLO,K,,,,,,,,,,,,,,,,,,,,,,72.0,3.0,3.0,47.0,203.0,,,,,,,6.0,,,2.0,1.0,57.0,6.0,3.0,3.0
simoni-lawrence,Simoni Lawrence,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
