player_id,player_name,positions,extra_point,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alize-mack,Alize Mack,TE,,,,,,,0.0,56.0,3.0,1.0,,
antwane-wells,Antwane Wells,WR,,,,,,,0.0,0.0,0.0,,,
columbus-aviators-dst,COLUMBUS AVIATORS DST,DST/K,4.0,,1.0,,,14.0,,,,,,2.0
columbus-aviators-qb,COLUMBUS AVIATORS QB,QB,,0.0,,1.0,126.0,,,,,0.0,42.0,
jalan-mcclendon,Jalan McClendon,QB,,0.0,,1.0,126.0,,,,,0.0,42.0,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,0.0,6.0,1.0,,,
john-lovett,John Lovett,RB,,,,,,,0.0,0.0,0.0,0.0,80.0,
keke-chism,Keke Chism,WR,,,,,,,1.0,50.0,4.0,,,
ryan-coe,Ryan Coe,K,4.0,,,,,,,,,,,
tay-martin,Tay Martin,WR,,,,,,,0.0,6.0,1.0,,,
toa-taua,Toa Taua,RB,,,,,,,0.0,8.0,1.0,1.0,37.0,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,1.0,43.0,
