player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alexander-hollins,Alexander HOLLINS,WR,,,,,,,1.0,56.0,3.0,,,
bc-dst,BC DST,DST,,,,,,9.0,,,,,,3.0
bc-k,BC K,K,1.0,147.0,,,,,,,,,,
bc-qb,BC QB,QB,,,1.0,1.0,227.0,,,,,,13.0,
dane-evans,Dane Evans,QB,,,1.0,1.0,219.0,,,,,0.0,12.0,
david-mackie,David Mackie,FB/RB,,,,,,,0.0,12.0,1.0,,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,0.0,2.0,1.0,,,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,0.0,29.0,2.0,,,
justin-mcinnis,Justin MCINNIS,WR,,,,,,,0.0,31.0,1.0,,,
keon-hatcher,Keon HATCHER,WR,,,,,,,0.0,74.0,4.0,,,
lucky-whitehead,Lucky Whitehead,WR,,,,,,,0.0,31.0,2.0,,,
sean-whyte,Sean WHYTE,K,1.0,147.0,,,,,,,,,,
shawn-shivers,Shawn Shivers,RB,,,,,,,,-8.0,3.0,,21.0,
vernon-adams-jr,Vernon ADAMS JR.,QB,,,,,8.0,,,,,,,
