player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,,0.0,10.0,2.0,0.0,110.0,,
dalton-schoen,Dalton SCHOEN,WR,,,,,,,,0.0,42.0,2.0,,,,
drew-wolitarsky,Drew WOLITARSKY,WR,,,,,,,,0.0,13.0,1.0,,,,
greg-mccrae,Greg McCrae,RB,,,,,,,,0.0,12.0,1.0,0.0,9.0,,
kenny-lawler,Kenny Lawler,WR,,,,,,,,0.0,93.0,7.0,,,,
les-maruo,Les Maruo,LB,,,,,,,,0.0,0.0,0.0,,,,
nic-demski,Nic DEMSKI,WR,,,,,,,,1.0,115.0,4.0,0.0,6.0,,
rasheed-bailey,Rasheed Bailey,WR,,,,,,,,1.0,23.0,3.0,,,,
sergio-castillo,Sergio CASTILLO,K,2.0,67.0,,1.0,,,,,,,,,,
tyrrell-pigrome,Tyrrell Pigrome,QB,,,,,,,,0.0,2.0,1.0,0.0,29.0,,
wpg-dst,WPG DST,DST,,,,,,,14.0,,,,,,3.0,
wpg-k,WPG K,K,2.0,67.0,,1.0,,,,,,,,,,
wpg-qb,WPG QB,QB,,,1.0,,2.0,308.0,,,,,,,,
willie-jefferson,Willie Jefferson,DL/DE,,,,,,,,,,,,,1.0,2.0
zach-collaros,Zach COLLAROS,QB,,,1.0,,2.0,308.0,,,,,0.0,2.0,,
