player_id,player_name,positions,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-mccarron,AJ McCarron,QB,,1.0,,,,2.0,214.0,,,,,-4.0,,
austin-proehl,Austin Proehl,WR,,,,,,,,,26.0,4.0,,,,
battlehawks-dst,Battlehawks DST,DST,,,3.0,,,,,,,,,,1.0,
battlehawks-qb,Battlehawks QB,QB,,1.0,,,,2.0,214.0,,,,,,,
ben-deluca,Ben Deluca,FS/DB,,,,,,,,,,,,,,3.0
brandon-arconado,Brandon Arconado,WR,,,,,,,,,35.0,3.0,,,,
brian-hill,Brian Hill,RB,,,,,,,,,26.0,2.0,1.0,89.0,,
bruce-hector,Bruce Hector,DL/DT,,,,,,,,,,,,,,1.0
bunmi-rotimi,Bunmi Rotimi,DL/DT/OLB/DB,,,,,,,,,,,,,,1.0
carson-wells,Carson Wells,LB/OLB,,,,,,,,,,,,,0.5,3.0
darnell-sankey,Darnell Sankey,LB,,,,,,,,,,,,,,9.0
darrius-shepherd,Darrius Shepherd,WR,,,,,,,,1.0,91.0,8.0,,,,
davonte-lambert,Davonte Lambert,DL/DT,,,,,1.0,,,,,,,,,
devante-bausby,De\'Vante Bausby,DB/CB,,,,,1.0,,,,,,,,,3.0
deveon-smith,De\'Veon Smith,RB,,,,,,,,,6.0,2.0,1.0,24.0,,
donald-payne,Donald Payne,LB/OLB,,,,,,,,,,,,,,12.0
elorm-lumor,Elorm Lumor,DL/DE,,,,,,,,,,,,,,4.0
gelen-robinson,Gelen Robinson,DL/DB,,,,,,,,,,,,,,1.0
hakeem-butler,Hakeem Butler,WR,,,,,,,,1.0,52.0,5.0,,,,
isaiah-graham-mobley,Isaiah Graham-Mobley,LB,,,,,,,,,,,,,,1.0
joe-powell,Joe Powell,LB/DB/SAF,,,1.0,,,,,,,,,,,4.0
jordan-smallwood,Jordan Smallwood,WR,,,,,,,,,7.0,1.0,,,,
josiah-coatney,Josiah Coatney,DL,,,,,,,,,,,,,,5.0
kareem-walker,Kareem Walker,RB,,,,,,,,,,,,12.0,,
kenneth-farrow,Kenneth Farrow,RB,,,,,,,,,8.0,2.0,,14.0,,
kyle-sloter,Kyle Sloter,QB,,3.0,,1.0,,,205.0,,,,,11.0,,
lacale-london,Lacale London,DL/DE,,,,,,,,,,,,,,3.0
lakiem-williams,Lakiem Williams,LB,,,,,,,,,,,,,,2.0
lujuan-winningham,LuJuan Winningham,WR,,,,,,,,,10.0,2.0,,,,
lukas-denis,Lukas Denis,FS/DB/S,,,,,1.0,,,,,,,,,3.0
mataeo-durant,Mataeo Durant,RB,,,,,,,,,,,,13.0,,
mike-hampton,Mike Hampton,DB/CB,,,,,3.0,,,,,,,,,7.0
mike-rose,Mike Rose,DL/LB/DB/MLB,,,,,,,,,,,,,,5.0
nate-becker,Nate Becker,TE,,,,,,,,,6.0,1.0,,,,
nate-meadors,Nate Meadors,FS/DB,,,1.0,,,,,,,,,,,3.0
renegades-dst,Renegades DST,DST,,,1.0,,,,,,,,,,,
renegades-qb,Renegades QB,QB,,3.0,,1.0,,,205.0,,,,,11.0,,
sal-cannella,Sal Cannella,TE,,,,,,,,,40.0,6.0,,,,
shakur-brown,Shakur Brown,DB/CB,,,,,1.0,,,,,,,,,3.0
silas-kelly,Silas Kelly,LB,,,1.0,,,,,,,,,,,1.0
steven-mitchell-jr,Steven Mitchell Jr.,WR,,,,,,,,,19.0,1.0,,,,
travis-feeney,Travis Feeney,DL/LB/OLB/DB,1.0,,,,,,,,,,,,0.5,4.0
tre-watson,Tre Watson,LB,,,1.0,,,,,,,,,,,3.0
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,45.0,4.0,,,,
will-clarke,Will Clarke,DL/DT/OLB,,,,,,,,,,,,,,4.0
will-hill,Will Hill,DB,,,,,1.0,,,,,,,,,3.0
willie-harvey,Willie Harvey,LB,,,,,,,,,,,,,,7.0
willie-taylor,Willie Taylor,LB,,,,,,,,,,,,,,3.0
