player_id,player_name,positions,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
andrew-harris,Andrew Harris,RB,,,,,,,,0.0,48.0,5.0,0.0,17.0,
boris-bede,Boris Bede,K,74.0,,,0.0,,,,,,,,,
brandon-barnes,Brandon Barnes,WR/TE,,,,,,,,1.0,39.0,2.0,,,
cam-phillips,Cam Phillips,WR,,,,,,,,0.0,35.0,4.0,,,
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,0.0,84.0,6.0,0.0,10.0,
markeith-ambles,Markeith Ambles,WR,,,,,,,,0.0,84.0,5.0,,,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,0.0,,,1.0,340.0,,,,,0.0,6.0,
tor-dst,TOR DST,DST,,,0.0,,,,23.0,,,,,,3.0
tor-qb,TOR QB,QB,,0.0,,,0.0,0.0,,,,,,,
tommy-nield,Tommy Nield,WR,,,,,,,,0.0,50.0,3.0,,,
