player_id,player_name,positions,interceptions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
albany-qb,ALBANY QB,QB,,1.0,7.0,132.0,,,,,
corpus-christi-qb,CORPUS CHRISTI QB,QB,,,2.0,75.0,,,,,16.0
darien-townsend,DARIEN TOWNSEND,WR,,,,,1.0,30.0,3.0,,
duane-brown,DUANE  BROWN,WR,,,,,3.0,48.0,4.0,,
desmond-maxwell,Desmond  Maxwell,RB/FB/LB,,,,,,,,1.0,3.0
henry-nell,Henry Nell,K,,,,,,,,0.0,8.0
isaiah-scott,Isaiah Scott,WR,,,,,,,,0.0,15.0
josiah-king,Josiah King,RB,,,,,0.0,59.0,6.0,0.0,2.0
marquel-wade,MARQUEL WADE,WR,,,,,2.0,51.0,4.0,,
moe-strong,Moe Strong,WR,,,,,1.0,34.0,3.0,,
robert-mccoy-jr,Robert Mccoy Jr,QB,1.0,,7.0,110.0,,,,,
sam-castronova,Sam Castronova,QB,0.0,,2.0,47.0,,,,,
