player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_ir,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
aaron-grymes,Aaron Grymes,DB,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-bighill,Adam BIGHILL,LB,,,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-konar,Adam KONAR,LB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-bazzie,Alex Bazzie,DB/DL,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-taylor,Alex Taylor,DB/OT/RB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almondo-sewell,Almondo Sewell,DB/DT,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,,,,,14.0,4.0,4.0,18.0,24.0,,,,,,20.0,13.0,1.0,73.0,,6.0,1.0,1.0,,,,,,
brandin-bryant,Brandin Bryant,DB/DL/LB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-alexander,Brandon Alexander,DB,1.0,29.0,,4.0,,4.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryant-mitchell,Bryant Mitchell,WR,,,,,,,,,,,,,,,,20.0,6.0,10.0,25.0,69.0,,,,,,,,,,,,,,,,,,,
cj-gable,C.J. Gable,RB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,11.0,18.0,,64.0,,,,,,,,,,
calvin-mccarty,Calvin McCarty,RB,,,,,,,,,,,,,,,,10.0,2.0,2.0,13.0,17.0,,,,,,,,,,,,,,,,,,,
chris-edwards,Chris Edwards,DB/LB,,,,7.0,,7.0,,,,,,,,,,,,,,,6.0,1.0,,,6.0,,,,,,,,,,,,,,
