player_id,player_name,positions,assist_tackles,completions,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,pass_attempts,passing_tds,passing_yards,pr_fc,punt_avg,punt_long,punt_tb,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles,targets
aaron-murray,Aaron Murray,QB,,16.0,,,,,,,,,,2.0,,22.0,1.0,135.0,,,,,,,,,,,,2.0,0.0,7.0,,
akeem-hunt,Akeem Hunt,RB,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.0,2.0,9.0,0.0,39.0,,2.0
ayodeji-olatoye,Ayodeji Olatoye,DB,0.0,,,,,,,65.0,65.0,1.0,65.0,,1.0,,,,,,,,,,,,,,,,,,3.0,
ben-turk,Ben Turk,,,,,,,,,,,,,,,,,,,41.7,50.0,0.0,125.0,3.0,0.0,1.0,,,,,,,,
bijhon-jackson,Bijhon Jackson,DB,1.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,
brandon-radcliff,Brandon Radcliff,RB,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,3.0,6.0,0.0,23.0,,3.0
brandon-watts,Brandon Watts,DB,2.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,3.0,
bug-howard,Bug Howard,WR/TE,,,,,,,,,,,,,,,,,,,,,,,,,0.0,36.0,3.0,,,,,4.0
cameron-nizialek,Cameron Nizialek,P,,,,,,,,,,,,,,,,,,52.0,61.0,1.0,156.0,3.0,0.0,0.0,,,,,,,,
carlos-merritt,Carlos Merritt,DB,1.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,
charles-johnson,Charles Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,1.0,31.0,4.0,,,,,5.0
christian-french,Christian French,DB,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,
cody-riggs,Cody Riggs,DB,3.0,,,,,,,3.0,3.0,0.0,3.0,,1.0,,,,,,,,,,,,,,,,,,3.0,
corey-griffin,Corey Griffin,DB,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,
dernest-johnson,D\'Ernest Johnson,RB,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,27.0,2.0,7.0,0.0,54.0,,2.0
