player_id,player_name,positions,dst_touchdown,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anthony-brown,Anthony Brown,QB,,,,0.0,,,0.0,40.0,,,,,0.0,21.0,
cam-sutton,Cam Sutton,TE,,,,,,,,,,0.0,0.0,0.0,,,
chris-blewitt,Chris Blewitt,K,,64.0,,,,1.0,,,,,,,,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,1.0,6.0,1.0,,,
georquarius-spivey,Geor\'Quarius Spivey,TE,,,,,,,,,,0.0,0.0,0.0,,,
josh-pederson,Josh Pederson,RB/TE/WR,,,,,,,,,,0.0,11.0,1.0,,,
justin-hall,Justin Hall,WR,,,,,,,,,,0.0,22.0,5.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,0.0,18.0,2.0,,,
lawrence-keys-iii,Lawrence Keys III,WR,,,,,,,,,,0.0,20.0,3.0,,,
lorenzo-lingard,Lorenzo Lingard,RB,,,,,,,,,,,,,0.0,32.0,
marcus-simms,Marcus Simms,WR,,,,,,,,,,0.0,15.0,3.0,,,
nolan-henderson,Nolan Henderson,QB,,,,0.0,,,1.0,80.0,,,,,0.0,15.0,
roughnecks-dst,Roughnecks DST,DST,1.0,,1.0,,2.0,,,,17.0,,,,,,1.0
roughnecks-k,Roughnecks K,K/QB,,64.0,,0.0,,1.0,1.0,120.0,,,,,0.0,36.0,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,0.0,28.0,3.0,0.0,50.0,
