player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
cj-lewis,CJ Lewis,WR,,,,,,,0.0,1.0,1.0,,,
demontre-tuggle,De\'Montre Tuggle,RB,,,,,,,0.0,6.0,1.0,1.0,126.0,
dustin-crum,Dustin CRUM,QB,,,,,,,,,,0.0,7.0,
jackson-bennett,Jackson Bennett,RB,,,,,,,0.0,24.0,2.0,0.0,44.0,
jaelon-acklin,Jaelon Acklin,WR,,,,,,,0.0,49.0,2.0,0.0,0.0,
justin-hardy,Justin HARDY,WR,,,,,,,0.0,18.0,3.0,,,
lewis-ward,Lewis Ward,K,2.0,141.0,,,,,,,,,,
marco-dubois,Marco DUBOIS,FB/WR,,,,,,,1.0,58.0,2.0,,,
nate-behar,Nate Behar,WR,,,,,,,0.0,-1.0,1.0,,,
ott-dst,OTT DST,DST,,,,,,7.0,,,,,,4.0
ott-k,OTT K,K,2.0,141.0,,,,,,,,,,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,0.0,30.0,2.0,,,
tyrie-adams,Tyrie ADAMS,QB/RB,,,0.0,1.0,185.0,,,,,0.0,31.0,
