player_id,player_name,positions,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
christophe-normand,Christophe Normand,FB/RB,,,,,,,,0.0,0.0,0.0,,,
david-cote,David Côté,K,86.0,,,1.0,,,,,,,,,
dominique-davis,Dominique Davis,QB,,0.0,,,0.0,0.0,,,,,2.0,8.0,
eugene-lewis,Eugene LEWIS,WR,,,,,,,,0.0,8.0,2.0,,,
hergy-mayala,Hergy Mayala,WR,,,,,,,,0.0,11.0,1.0,,,
jake-wieneke,Jake Wieneke,WR,,,,,,,,0.0,66.0,5.0,,,
jeshrun-antwi,Jeshrun ANTWI,RB,,,,,,,,0.0,30.0,3.0,0.0,23.0,
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,,0.0,50.0,2.0,,,
mtl-dst,MTL DST,DST,,,0.0,,,,17.0,,,,,,5.0
mtl-qb,MTL QB,QB,,0.0,,,0.0,0.0,,,,,,,
reggie-white-jr,Reggie WHITE JR.,WR,,,,,,,,0.0,41.0,4.0,,,
tavien-feaster,Tavien Feaster,RB,,,,,,,,0.0,0.0,0.0,0.0,39.0,
trevor-harris,Trevor HARRIS,QB,,0.0,,,0.0,213.0,,,,,,,
tyson-philpot,Tyson PHILPOT,WR,,,,,,,,0.0,7.0,1.0,,,
