player_id,player_name,positions,extra_point,field_goal_yards,fumbles_lost,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
austin-mack,Austin Mack,WR,,,,,,,,,0.0,103.0,5.0,,,
caleb-evans,Caleb EVANS,QB,,,,,,,,,,,,1.0,1.0,
david-dallaire,David DALLAIRE,RB/FB,,,,,,,,,0.0,15.0,2.0,,,
davis-alexander,Davis ALEXANDER,QB/RB,,,,1.0,,1.0,344.0,,,,,0.0,3.0,
james-letcher-jr,James LETCHER JR,WR,,,1.0,,,,,,1.0,37.0,4.0,,,
jose-maltos,Jose MALTOS,K,3.0,191.0,,,,,,,,,,,,
mtl-dst,MTL DST,DST,,,,,3.0,,,39.0,,,,,,2.0
mtl-k,MTL K,K,3.0,191.0,,,,,,,,,,,,
mtl-qb,MTL QB,QB,,,,1.0,,1.0,344.0,,,,,1.0,4.0,
sean-thomas-erlington,Sean THOMAS ERLINGTON,RB,,,,,,,,,,5.0,1.0,,,
travis-theis,Travis THEIS,RB,,,,,,,,,0.0,25.0,2.0,0.0,75.0,
tyler-snead,Tyler SNEAD,WR,,,,,,,,,0.0,117.0,4.0,,,
tyson-philpot,Tyson PHILPOT,WR,,,,,,,,,0.0,42.0,5.0,,,
