player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aj-brown,A.J. Brown,WR,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.5,12.0,23.0,2.0,0.0,,
aaron-aiken,Aaron Aiken,QB,6.0,,,,,,,,3.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,5.0,11.0,2.0,0.0,,
aaron-dilworth,Aaron Dilworth,WR,3.0,,1.0,0.0,,,,,,,,,20.0,20.0,20.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,10.0,13.0,1.0,0.0,,
addison-mccauley,Addison McCauley,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.3,199.0,8.0,411.0,22.0,9.0,24.0,5.0,0.0,23.0,,,2.0,3.0,1.0,0.0,,
adrian-hawkins-jr,Adrian Hawkins Jr.,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,
adrian-jefferson,Adrian Jefferson,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
adyn-schwarzer,Adyn Schwarzer,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,2.0,2.0,1.0,0.0,,
aj-davis,Aj Davis,RB,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,8.0,1.0,10.0,16.0,3.0,12.0,,
albert-curran-iv,Albert Curran IV,DB,7.0,,4.0,1.0,,,,,,,,,36.0,36.0,36.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,31.0,38.0,,,,
aleki-tapa,Aleki Tapa,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
alex-steiner,Alex Steiner,K,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,11.0,4.5,0.0,,
alexander-coleman,Alexander Coleman,WR,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,,,,
alexander-kekua,Alexander Kekua,OL,0.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,14.0,14.0,0.0,14.0,,,,,,,,69.9,105.0,1.0,176.0,19.0,19.6,53.0,42.0,2.0,132.0,,,3.0,3.0,2.0,0.0,,
alexis-rosario,Alexis Rosario,RB/WR,4.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,0.0,,0.0,0.0,0.0,,102.0,139.0,5.0,316.0,30.0,5.5,8.0,5.0,0.0,6.0,,,5.0,9.0,1.0,0.0,,
andre-sale,Andre Sale,QB,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,0.5,24.0,39.0,6.5,0.0,,
andre-thomas-cobb,Andre Thomas-Cobb,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,3.0,4.0,2.0,0.0,,
andre-white-jr,Andre White Jr.,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,5.0,6.0,,,,
angelo-grose,Angelo Grose,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
anthony-jacobsen,Anthony Jacobsen,LB,0.0,,,,,,,,,,,,,,,,,5.0,51.9,2.0,2.0,415.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,6.0,5.0
anthony-lamar-dixon,Anthony Lamar Dixon,DB,7.0,2.0,,,0.0,0.0,0.0,,1.0,0.0,,,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,6.0,1.0,6.0,13.0,3.0,0.0,,
anthony-webb,Anthony Webb,DB,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,10.0,3.0,12.0,19.0,7.0,0.0,,
anthony-wilson,Anthony Wilson,DB,4.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,
antonio-hill,Antonio Hill,DB,8.0,,1.0,0.0,,,,1.0,1.0,0.0,,,20.0,20.0,20.0,0.0,1.0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,27.0,35.0,,,,
