rank,canonical_id,canonical_name,positions,passing_yards,passing_tds,completions,interceptions_lost
1,zach-collaros,Zach COLLAROS,QB,15508.0,100.0,0,58.0
2,vernon-adams-jr,Vernon ADAMS JR.,QB,15503.0,81.0,0,53.0
3,bo-levi-mitchell,Bo Levi Mitchell,QB,13809.0,88.0,0,38.0
4,cody-fajardo,Cody FAJARDO,QB,13123.0,58.0,0,40.0
5,trevor-harris,Trevor HARRIS,QB,12797.0,69.0,0,34.0
6,mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,12375.0,64.0,0,38.0
7,jake-maier,Jake Maier,QB,10485.0,53.0,0,37.0
8,nathan-rourke,Nathan ROURKE,QB,9984.0,56.0,0,35.0
9,luis-perez,Luis Perez,QB,8911.0,49.0,135.0,25.0
10,nick-arbuckle,Nick ARBUCKLE,QB,8155.0,35.0,0,34.0
11,dru-brown,Dru Brown,QB,7818.0,46.0,0,24.0
12,defenders-qb,Defenders QB,QB,7661.0,63.0,0,22.0
13,stallions-qb,Stallions QB,QB,7657.0,66.0,0,21.0
14,jordan-taamu,Jordan Ta\'amu,QB,7150.0,56.0,0,24.0
15,chad-kelly,Chad KELLY,QB,6583.0,33.0,0,21.0
16,renegades-qb,Renegades QB,QB,6514.0,34.0,0,21.0
17,panthers-qb,Panthers QB,QB,6013.0,37.0,0,26.0
18,roughnecks-qb,Roughnecks QB,QB,5672.0,31.0,0,22.0
19,battlehawks-qb,Battlehawks QB,QB,5614.0,46.0,0,22.0
20,brahmas-qb,Brahmas QB,QB,5594.0,26.0,0,24.0
21,case-cookus,Case Cookus,QB,5299.0,39.0,0,21.0
22,dustin-crum,Dustin CRUM,QB,5238.0,16.0,0,16.0
23,tre-ford,Tre Ford,QB,4651.0,29.0,0,19.0
24,dane-evans,Dane Evans,QB,3926.0,17.0,0,17.0
25,aj-mccarron,AJ McCarron,QB,3911.0,40.0,0,10.0
26,jalan-mcclendon,Jalan McClendon,QB,3537.0,17.0,0,7.0
27,davis-alexander,Davis ALEXANDER,QB,3424.0,16.0,0,5.0
28,taylor-cornelius,Taylor Cornelius,QB,3237.0,13.0,0,16.0
29,alex-mcgough,Alex McGough,QB,3208.0,32.0,0,9.0
30,brandon-silvers,Brandon Silvers,QB,3015.0,20.0,80.0,14.0
31,jake-dolegala,Jake Dolegala,QB,2953.0,12.0,0,11.0
32,jalen-morton,Jalen Morton,QB,2829.0,48.0,0,6.0
33,quinten-dormady,Quinten Dormady,QB,2771.0,16.0,0,11.0
34,josh-love,Josh Love,QB,2723.0,19.0,0,17.0
35,breakers-qb,Breakers QB,QB,2706.0,16.0,0,10.0
36,jmar-smith,J\'Mar Smith,QB,2682.0,18.0,0,8.0
37,sea-dragons-qb,Sea Dragons QB,QB,2677.0,20.0,0,13.0
38,ben-dinucci,Ben DiNucci,QB,2671.0,20.0,0,13.0
39,shea-patterson,Shea Patterson,QB,2662.0,10.0,0,10.0
40,kyle-sloter,Kyle Sloter,QB,2607.0,11.0,0,17.0
41,troy-williams,Troy Williams,QB,2505.0,12.0,0,9.0
42,jeremiah-masoli,Jeremiah MASOLI,QB,2476.0,9.0,0,15.0
43,dalton-cole,Dalton Cole,QB,2476.0,43.0,0,3.0
44,sam-castronova,Sam Castronova,QB,2428.0,68.0,0,0
45,guardians-qb,Guardians QB,QB,2311.0,16.0,0,8.0
46,stars-qb,Stars QB,QB,2303.0,15.0,0,9.0
47,new-orleans-qb,New Orleans QB,QB,2295.0,12.0,0,10.0
48,caleb-evans,Caleb EVANS,QB,2285.0,12.0,0,13.0
49,vipers-qb,Vipers QB,QB,2265.0,16.0,0,7.0
50,kenji-bahar,Kenji Bahar,QB,2253.0,10.0,0,12.0
51,birmingham-qb,Birmingham QB,QB,2223.0,14.0,0,7.0
52,cameron-dukes,Cameron Dukes,QB,2212.0,9.0,0,9.0
53,matthew-shiltz,Matthew Shiltz,QB,2203.0,10.0,0,8.0
54,garrett-gilbert,Garrett Gilbert,QB,2152.0,13.0,157.0,3.0
55,matt-corral,Matt Corral,QB,2031.0,13.0,0,11.0
56,michigan-qb,Michigan QB,QB,2012.0,13.0,0,8.0
57,adrian-martinez,Adrian Martinez,QB,2010.0,17.0,0,4.0
58,gamblers-qb,Gamblers QB,QB,1899.0,9.0,0,10.0
59,jordan-taamu-2,Jordan Ta’amu,QB,1854.0,15.0,0,9.0
60,pittsburgh-qb,Pittsburgh QB,QB,1755.0,11.0,0,9.0
61,ej-perry,E.J. Perry,QB,1743.0,6.0,0,9.0
62,deandre-johnson,De\'Andre Johnson,QB,1721.0,6.0,0,4.0
63,maulers-qb,Maulers QB,QB,1697.0,6.0,0,5.0
64,tampa-bay-qb,Tampa Bay QB,QB,1694.0,14.0,0,11.0
65,bryce-perkins,Bryce Perkins,QB,1685.0,11.0,0,3.0
66,generals-qb,Generals QB,QB,1668.0,10.0,0,6.0
