rank,canonical_id,canonical_name,positions,receiving_yards,receiving_tds,receptions
1,keon-hatcher,Keon HATCHER,WR,4473.0,20.0,279.0
2,tim-white,Tim White,WR,4422.0,30.0,302.0
3,eugene-lewis,Eugene LEWIS,WR,4131.0,28.0,277.0
4,justin-mcinnis,Justin MCINNIS,WR,3707.0,21.0,243.0
5,nic-demski,Nic DEMSKI,WR,3633.0,27.0,259.0
6,dominique-rhymes,Dominique RHYMES,WR,3616.0,23.0,229.0
7,justin-hardy,Justin HARDY,WR,3605.0,16.0,280.0
8,kenny-lawler,Kenny Lawler,WR,3605.0,28.0,220.0
9,steven-dunbar-jr,Steven Dunbar Jr.,WR,3087.0,16.0,221.0
10,reggie-begelton,Reggie BEGELTON,WR,3004.0,11.0,247.0
11,kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,2973.0,12.0,242.0
12,kiondre-smith,Kiondre SMITH,WR,2962.0,13.0,229.0
13,samuel-emilus,Samuel Emilus,WR,2885.0,12.0,199.0
14,dalton-schoen,Dalton SCHOEN,WR,2689.0,22.0,161.0
15,davaris-daniels,DaVaris DANIELS,WR,2684.0,16.0,172.0
16,jaelon-acklin,Jaelon Acklin,WR,2640.0,7.0,195.0
17,damonte-coxie,Damonte COXIE,WR,2616.0,15.0,154.0
18,tyson-philpot,Tyson PHILPOT,WR,2479.0,17.0,196.0
19,tevin-jones,Tevin JONES,WR,2446.0,14.0,169.0
20,jevon-cottoy,Jevon COTTOY,WR,2290.0,12.0,182.0
21,kaion-julien-grant,Kaion JULIEN-GRANT,WR,2263.0,10.0,171.0
22,alexander-hollins,Alexander HOLLINS,WR,2258.0,15.0,146.0
23,tyler-snead,Tyler SNEAD,WR,2170.0,9.0,164.0
24,kian-schaffer-baker,Kian SCHAFFER-BAKER,WR,2056.0,11.0,160.0
25,hakeem-butler,Hakeem Butler,WR,2015.0,19.0,131.0
26,shawn-bane-jr,Shawn Bane Jr.,WR,1933.0,10.0,156.0
27,keesean-johnson,KeeSean Johnson,WR,1905.0,9.0,142.0
28,bralon-addison,Bralon ADDISON,WR,1867.0,8.0,174.0
29,sal-cannella,Sal Cannella,TE,1856.0,9.0,181.0
30,justin-hall,Justin Hall,WR,1851.0,11.0,189.0
31,jonathan-adams,Jonathan Adams,WR,1838.0,8.0,144.0
32,austin-mack,Austin Mack,WR,1828.0,6.0,126.0
33,charleston-rambo,Charleston RAMBO,WR,1823.0,11.0,150.0
34,cole-spieker,Cole SPIEKER,WR,1818.0,12.0,145.0
35,dejon-brissett,Dejon BRISSETT,WR,1731.0,11.0,121.0
36,tyler-vaughns,Tyler Vaughns,WR,1718.0,13.0,151.0
37,lucky-whitehead,Lucky Whitehead,WR,1707.0,7.0,137.0
38,james-butler,James BUTLER,RB,1703.0,7.0,201.0
39,brady-oliveira,Brady OLIVEIRA,RB,1649.0,5.0,172.0
40,deon-cain,Deon Cain,WR,1540.0,17.0,112.0
41,ayden-eberhardt,Ayden EBERHARDT,WR,1519.0,6.0,88.0
42,jalen-philpot,Jalen PHILPOT,RB/WR,1489.0,6.0,127.0
43,marken-michel,Marken Michel,WR,1484.0,9.0,116.0
44,drew-wolitarsky,Drew WOLITARSKY,WR,1474.0,8.0,111.0
45,jontre-kirklin,Jontre Kirklin,WR,1467.0,7.0,134.0
46,dillon-mitchell,Dillon MITCHELL,RB/WR,1453.0,9.0,113.0
47,kalil-pimpleton,Kalil PIMPLETON,WR,1437.0,4.0,113.0
48,ontaria-wilson,Ontaria Wilson,WR,1408.0,6.0,92.0
49,chris-rowland,Chris Rowland,WR,1402.0,11.0,124.0
50,jace-sternberger,Jace Sternberger,TE,1397.0,14.0,87.0
51,clark-barnes,Clark BARNES,WR,1391.0,7.0,98.0
52,stanley-berryhill,Stanley BERRYHILL,WR,1383.0,10.0,109.0
53,rasheed-bailey,Rasheed Bailey,WR,1344.0,15.0,120.0
54,dohnte-meyers,Dohnte Meyers,WR,1304.0,9.0,81.0
55,shemar-bridges,Shemar BRIDGES,WR,1294.0,6.0,117.0
56,tommy-nield,Tommy Nield,WR,1288.0,7.0,104.0
57,jahcour-pearson,Jahcour Pearson,WR,1270.0,6.0,137.0
58,david-ungerer-iii,David UNGERER III,WR,1259.0,4.0,98.0
59,siaosi-mariner,Siaosi Mariner,WR,1243.0,6.0,86.0
60,william-stanback,William STANBACK,RB,1239.0,6.0,144.0
61,darrius-shepherd,Darrius Shepherd,WR,1224.0,7.0,112.0
62,walter-fletcher,Walter FLETCHER,RB,1166.0,4.0,118.0
63,deontay-burnett,Deontay Burnett,WR,1161.0,12.0,101.0
64,marlon-williams,Marlon Williams,WR,1140.0,9.0,88.0
65,kevin-mital,Kevin Mital,WR,1074.0,4.0,119.0
66,reggie-white-jr,Reggie WHITE JR.,WR,1064.0,6.0,76.0
67,malik-henry,Malik Henry,WR,1057.0,8.0,63.0
68,keke-chism,Keke Chism,WR,1038.0,8.0,95.0
69,makai-polk,Makai Polk,WR,1024.0,5.0,61.0
70,hergy-mayala,Hergy Mayala,WR,1023.0,7.0,80.0
71,jerreth-sterns,Jerreth STERNS,WR,1022.0,6.0,87.0
72,sage-surratt,Sage Surratt,TE,1019.0,4.0,95.0
73,kyran-moore,Kyran Moore,WR,991.0,4.0,100.0
74,cody-latimer,Cody Latimer,TE,984.0,5.0,86.0
75,devin-gray,Devin Gray,WR,956.0,4.0,99.0
76,keric-wheatfall,Keric Wheatfall,WR,928.0,5.0,55.0
77,davion-davis,Davion Davis,WR,923.0,6.0,71.0
78,demarius-washington,Demarius Washington,WR,913.0,16.0,65.0
79,johnnie-dixon,Johnnie Dixon,WR,912.0,9.0,79.0
80,vinny-papale,Vinny Papale,WR,893.0,8.0,88.0
81,alonzo-moore,Alonzo Moore,WR,890.0,8.0,64.0
82,erik-brooks,Erik BROOKS,WR,877.0,3.0,54.0
83,isiah-hennie,Isiah Hennie,WR,867.0,6.0,87.0
84,joe-walker,Joe Walker,WR,862.0,6.0,66.0
85,nate-behar,Nate Behar,WR,862.0,3.0,87.0
86,lucky-jackson,Lucky Jackson,WR,853.0,7.0,57.0
87,javonta-payton,JaVonta Payton,WR,853.0,6.0,63.0
88,ty-scott,Ty Scott,WR,832.0,7.0,52.0
89,cam-phillips,Cam Phillips,WR,827.0,4.0,52.0
90,trey-quinn,Trey Quinn,WR,811.0,6.0,67.0
91,mitchell-picton,Mitchell PICTON,WR,798.0,4.0,65.0
92,blake-jackson,Blake Jackson,WR,775.0,2.0,81.0
93,isaiah-scott,Isaiah Scott,WR,766.0,16.0,53.0
94,justin-rankin,Justin Rankin,RB,765.0,5.0,65.0
95,kevens-clercius,Kevens Clercius,WR,763.0,1.0,72.0
96,jake-herslow,Jake HERSLOW,WR,756.0,9.0,59.0
97,derel-walker,Derel Walker,WR,750.0,2.0,60.0
98,emmanuel-arceneaux,Emmanuel Arceneaux,SB/DB,747.0,1.0,61.0
99,malik-honeycutt,Malik Honeycutt,WR,747.0,15.0,53.0
100,dedrick-mills,Dedrick MILLS,RB,742.0,0.0,85.0
