game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,rushing_tds,rushing_yards,tackles
SYNTHETIC_CFL_W1_EDM,,,1,CFL,,,1.0,,0.0,8.0,0.0,8.0,
SYNTHETIC_CFL_W3_EDM,,,3,CFL,,,,,,,0.0,2.0,
SYNTHETIC_CFL_W4_EDM,,,4,CFL,,,1.0,,1.0,159.0,0.0,61.0,
SYNTHETIC_CFL_W5_EDM,,,5,CFL,,,0.0,,0.0,52.0,0.0,6.0,
SYNTHETIC_CFL_W19_EDM,2022-10-15,,19,CFL,TOR,EDM,1.0,,0.0,0.0,,,
SYNTHETIC_CFL_W20_EDM,2022-10-21,,20,CFL,BC,EDM,2.0,,1.0,242.0,0.0,72.0,
SYNTHETIC_CFL_2023_W10_EDM,2023-08-10,2023,10,CFL,WPG,EDM,1.0,,1.0,189.0,1.0,50.0,
SYNTHETIC_CFL_2023_W11_EDM,2023-08-17,2023,11,CFL,EDM,HAM,0.0,,2.0,174.0,0.0,60.0,
SYNTHETIC_CFL_2023_W12_EDM,2023-08-27,2023,12,CFL,OTT,EDM,0.0,,1.0,317.0,1.0,74.0,
SYNTHETIC_CFL_2023_W13_EDM,2023-09-04,2023,13,CFL,EDM,CGY,0.0,,1.0,137.0,0.0,135.0,
SYNTHETIC_CFL_2023_W14_EDM,2023-09-09,2023,14,CFL,CGY,EDM,2.0,,1.0,173.0,0.0,82.0,
SYNTHETIC_CFL_2023_W15_EDM,2023-09-15,2023,15,CFL,EDM,SSK,1.0,,1.0,173.0,1.0,70.0,
SYNTHETIC_CFL_2023_W16_EDM,2023-09-22,2023,16,CFL,BC,EDM,0.0,,2.0,182.0,0.0,43.0,
SYNTHETIC_CFL_2023_W18_EDM,2023-10-06,2023,18,CFL,EDM,TOR,2.0,,1.0,220.0,0.0,47.0,
SYNTHETIC_CFL_2023_W19_EDM,2023-10-14,2023,19,CFL,MTL,EDM,0.0,,2.0,216.0,0.0,47.0,
SYNTHETIC_CFL_2023_W20_EDM,2023-10-21,2023,20,CFL,EDM,WPG,0.0,,0.0,288.0,0.0,14.0,
SYNTHETIC_CFL_2024_W1_EDM,2024-06-08,2024,1,CFL,SSK,EDM,,,,,,,5.0
SYNTHETIC_CFL_2024_W7_EDM,2024-07-19,2024,7,CFL,EDM,OTT,0.0,,0.0,4.0,0.0,3.0,
SYNTHETIC_CFL_2024_W8_EDM,2024-07-28,2024,8,CFL,HAM,EDM,0.0,,3.0,121.0,0.0,19.0,
SYNTHETIC_CFL_2024_W9_EDM,2024-08-03,2024,9,CFL,EDM,SSK,1.0,1.0,2.0,252.0,0.0,46.0,
SYNTHETIC_CFL_2024_W10_EDM,2024-08-11,2024,10,CFL,BC,EDM,0.0,,0.0,96.0,0.0,11.0,
SYNTHETIC_CFL_2024_W14_EDM,2024-09-07,2024,14,CFL,CGY,EDM,0.0,,0.0,0.0,0.0,4.0,
SYNTHETIC_CFL_2024_W16_EDM,2024-09-21,2024,16,CFL,WPG,EDM,2.0,,1.0,131.0,0.0,9.0,
SYNTHETIC_CFL_2024_W19_EDM,2024-10-12,2024,19,CFL,EDM,CGY,2.0,,1.0,208.0,0.0,33.0,
SYNTHETIC_CFL_2024_W21_EDM,2024-10-25,2024,21,CFL,TOR,EDM,0.0,,3.0,325.0,0.0,81.0,
SYNTHETIC_CFL_2025_W1_EDM,2025-06-07,2025,1,CFL,EDM,BC,1.0,,,178.0,,54.0,
SYNTHETIC_CFL_2025_W3_EDM,2025-06-19,2025,3,CFL,MTL,EDM,1.0,,2.0,308.0,1.0,31.0,
SYNTHETIC_CFL_2025_W4_EDM,2025-06-26,2025,4,CFL,EDM,WPG,0.0,,1.0,252.0,0.0,6.0,
SYNTHETIC_CFL_2025_W5_EDM,2025-07-06,2025,5,CFL,OTT,EDM,0.0,,2.0,212.0,0.0,14.0,
SYNTHETIC_CFL_2025_W6_EDM,2025-07-13,2025,6,CFL,BC,EDM,1.0,,0.0,34.0,0.0,47.0,
