game_id,date,season,week,league,away,home,lost_fumbles,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_2022_W8_BHAM,,2022,8,USFL,,,,1.0,43.0,3.0
SYNTHETIC_USFL_2022_W9_BHAM,,2022,9,USFL,,,,1.0,39.0,2.0
SYNTHETIC_USFL_2022_W10_BHAM,,2022,10,USFL,,,,0.0,46.0,3.0
SYNTHETIC_USFL_2022_W11_BHAM,,2022,11,USFL,,,,0.0,74.0,5.0
SYNTHETIC_USFL_2023_W3_STALLIONS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,0.0,0.0,0.0
SYNTHETIC_USFL_2023_W5_STALLIONS,2023-05-13,2023,5,USFL,STALLIONS,GAMBLERS,,0.0,38.0,2.0
SYNTHETIC_USFL_2023_W6_STALLIONS,2023-05-20,2023,6,USFL,PANTHERS,STALLIONS,,0.0,37.0,4.0
SYNTHETIC_USFL_2023_W8_STALLIONS,2023-06-03,2023,8,USFL,STALLIONS,STARS,,0.0,14.0,2.0
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,0.0,19.0,2.0
68,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,1.0,0.0,21.0,3.0
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,0.0,19.0,1.0
