game_id,date,season,week,league,away,home,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,tackles
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,,27.0,18.0,,,10.0,1.0,3.0,281.0,,,,,,,,,,,
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,,36.0,26.0,,25.0,27.0,4.0,1.0,256.0,,,,,,,,,,,
FOOTBALL_CFL_2016_10_1_CGY@HAM,2016-10-01,2016,1,CFL,CGY,HAM,,29.0,20.0,2.0,,,,2.0,293.0,,,,,,,,,,,
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,,30.0,20.0,,,,,2.0,258.0,,,,,,,,,,,
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,28.0,21.0,1.0,,,,3.0,365.0,,,,,,1.0,2.0,2.0,,,
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,,41.0,28.0,3.0,51.0,25.0,2.0,2.0,391.0,,,,,,1.0,,,,,
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,27.0,16.0,,48.0,25.0,3.0,1.0,233.0,,,,,,1.0,6.0,6.0,,,
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,,37.0,24.0,,41.0,6.0,1.0,2.0,309.0,,,,,,2.0,19.0,20.0,,,
FOOTBALL_CFL_2016_7_21_CGY@WPG,2016-07-21,2016,1,CFL,CGY,WPG,,41.0,29.0,1.0,33.0,,,3.0,310.0,,,,,,1.0,1.0,1.0,,,
FOOTBALL_CFL_2016_7_29_BC@CGY,2016-07-29,2016,1,CFL,BC,CGY,,44.0,29.0,1.0,,37.0,4.0,3.0,364.0,,,,,,3.0,20.0,22.0,,,
FOOTBALL_CFL_2016_7_8_CGY@OTT,2016-07-08,2016,1,CFL,CGY,OTT,,43.0,29.0,1.0,46.0,,,2.0,368.0,,,,,,4.0,3.0,6.0,,,
