game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,,,,,,,,,,12.0,2.0,2.0,,15.0,15.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_22_MTL@SSK,2016-10-22,2016,1,CFL,MTL,SSK,,,,,,,,,,12.0,6.0,9.0,,25.0,33.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,,,,,,,,,,,,2.0,,,,,,,2.0,12.0,,15.0,,,,,,,
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,,,,,,,,,,,4.0,8.0,1.0,12.0,29.0,,,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,,,,,,,,,,33.0,4.0,6.0,,29.0,62.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_6_30_TOR@SSK,2016-06-30,2016,1,CFL,TOR,SSK,,,,,,,,,,,,1.0,,,,9.0,5.0,34.0,,,,,,,,,,,
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,,,,,,,,,,,3.0,4.0,1.0,3.0,22.0,9.0,1.0,9.0,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,,,,,,,,,,14.0,2.0,3.0,,5.0,19.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,,,,,,,,,,,,,,,,20.0,1.0,20.0,,,,,,,,,,,
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,,,,,,,,,,18.0,4.0,5.0,,15.0,33.0,27.0,1.0,27.0,,,,,,,,,,,
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,,,,,,,,,,,,,,,,8.0,2.0,11.0,,,,,,,,,,,
FOOTBALL_CFL_2016_8_26_SSK@EDM,2016-08-26,2016,1,CFL,SSK,EDM,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
