game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_2024_W1_WPG,2024-05-20,2024,1,CFL,WPG,SSK,,,,,,,0.0,32.0
SYNTHETIC_CFL_2024_W2_WPG,2024-06-13,2024,2,CFL,WPG,OTT,,,,,,,1.0,7.0
SYNTHETIC_CFL_2024_W3_WPG,2024-06-21,2024,3,CFL,BC,WPG,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0
SYNTHETIC_CFL_2024_W4_WPG,2024-06-29,2024,4,CFL,WPG,CGY,1.0,1.0,170.0,,,,0.0,27.0
SYNTHETIC_CFL_2024_W5_WPG,2024-07-05,2024,5,CFL,OTT,WPG,0.0,0.0,127.0,,,,1.0,79.0
SYNTHETIC_CFL_2024_W6_WPG,2024-07-12,2024,6,CFL,CGY,WPG,,,,,,,1.0,7.0
SYNTHETIC_CFL_2024_W7_WPG,2024-07-19,2024,7,CFL,WPG,SSK,,,,,,,0.0,7.0
SYNTHETIC_CFL_2024_W8_WPG,2024-07-27,2024,8,CFL,WPG,TOR,0.0,0.0,0.0,,,,0.0,19.0
SYNTHETIC_CFL_2024_W9_WPG,2024-08-01,2024,9,CFL,BC,WPG,,,,,,,0.0,25.0
SYNTHETIC_CFL_2024_W11_WPG,2024-08-18,2024,11,CFL,WPG,BC,,,,,,,1.0,16.0
SYNTHETIC_CFL_2024_W12_WPG,2024-08-23,2024,12,CFL,HAM,WPG,,,,,,,0.0,13.0
SYNTHETIC_CFL_2024_W13_WPG,2024-09-01,2024,13,CFL,WPG,SSK,0.0,0.0,46.0,,,,2.0,12.0
SYNTHETIC_CFL_2024_W14_WPG,2024-09-07,2024,14,CFL,SSK,WPG,0.0,0.0,0.0,,,,1.0,4.0
SYNTHETIC_CFL_2025_W2_WPG,2025-06-12,2025,2,CFL,BC,WPG,1.0,3.0,246.0,,,,0.0,9.0
SYNTHETIC_CFL_2025_W3_WPG,2025-06-21,2025,3,CFL,WPG,BC,,,,,,,0.0,1.0
SYNTHETIC_CFL_2025_W4_WPG,2025-06-26,2025,4,CFL,EDM,WPG,,,,,,,0.0,3.0
SYNTHETIC_CFL_2025_W5_WPG,2025-07-03,2025,5,CFL,WPG,CGY,0.0,0.0,28.0,,,,0.0,5.0
SYNTHETIC_CFL_2025_W7_WPG,2025-07-18,2025,7,CFL,CGY,WPG,2.0,1.0,136.0,,,,0.0,29.0
SYNTHETIC_CFL_2025_W8_WPG,2025-07-26,2025,8,CFL,WPG,TOR,0.0,1.0,148.0,,,,0.0,16.0
SYNTHETIC_CFL_2025_W9_WPG,2025-08-01,2025,9,CFL,TOR,WPG,3.0,0.0,173.0,,,,1.0,25.0
SYNTHETIC_CFL_2025_W10_WPG,2025-08-09,2025,10,CFL,WPG,CGY,0.0,0.0,2.0,,,,1.0,4.0
SYNTHETIC_CFL_2025_W11_WPG,2025-08-14,2025,11,CFL,OTT,WPG,0.0,0.0,5.0,,,,1.0,4.0
SYNTHETIC_CFL_2025_W13_WPG,2025-08-31,2025,13,CFL,WPG,SSK,,,,,,,0.0,1.0
SYNTHETIC_CFL_2025_W14_WPG,2025-09-06,2025,14,CFL,SSK,WPG,2.0,0.0,39.0,,,,0.0,9.0
SYNTHETIC_CFL_2025_W15_WPG,2025-09-12,2025,15,CFL,WPG,HAM,2.0,1.0,241.0,,,,1.0,82.0
SYNTHETIC_CFL_2025_W16_WPG,2025-09-20,2025,16,CFL,WPG,OTT,1.0,,54.0,,,,1.0,72.0
SYNTHETIC_CFL_2025_W17_WPG,2025-09-27,2025,17,CFL,HAM,WPG,0.0,0.0,23.0,,,,3.0,26.0
SYNTHETIC_CFL_2025_W19_WPG,2025-10-11,2025,19,CFL,WPG,EDM,,,,,,,1.0,8.0
SYNTHETIC_CFL_2025_W20_WPG,2025-10-17,2025,20,CFL,SSK,WPG,0.0,0.0,0.0,,,,0.0,7.0
SYNTHETIC_CFL_2025_W21_WPG,2025-10-25,2025,21,CFL,MTL,WPG,0.0,0.0,13.0,,,,0.0,0.0
