game_id,date,season,week,league,away,home,assist_tackles,def_sack,def_solo,def_tot,def_ydsl,interceptions_made,sacks,solo_tackles,tackles
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,4.0,,,,,,,,4.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,2.0,,,,,,,2.0,4.0
FOOTBALL_CFL_2021_11_13_WPG@MTL,2021-11-13,2021,1,CFL,WPG,MTL,,1.0,2.0,2.0,7.0,,,,
FOOTBALL_CFL_2021_8_29_CGY@WPG,2021-08-29,2021,1,CFL,CGY,WPG,,,1.0,1.0,,,,,
FOOTBALL_CFL_2021_9_11_SSK@WPG,2021-09-11,2021,1,CFL,SSK,WPG,,,3.0,3.0,,,,,
FOOTBALL_CFL_2021_9_18_WPG@EDM,2021-09-18,2021,1,CFL,WPG,EDM,,,2.0,2.0,,,,,
9889318,2023-08-10,2023,10,CFL,WPG,EDM,,,,,,0.0,0.0,,1.0
9889323,2023-08-18,2023,11,CFL,WPG,CGY,,,,,,0.0,0.0,,1.0
9889326,2023-08-24,2023,12,CFL,MTL,WPG,,,,,,0.0,0.0,,3.0
9889331,2023-09-03,2023,13,CFL,WPG,SSK,,,,,,0.0,0.0,,1.0
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,,,,,0.0,1.0,,4.0
9889340,2023-09-16,2023,15,CFL,WPG,HAM,,,,,,0.0,0.0,,4.0
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,,,,,0.0,0.0,,1.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,,,,,,0.0,1.0,,4.0
9889360,2023-10-21,2023,20,CFL,EDM,WPG,,,,,,0.0,0.0,,2.0
