game_id,date,season,week,league,away,home,field_goal_yards,missed
1-roughnecks-guardians,2023-02-18,2023,1,XFL,GUARDIANS,ROUGHNECKS,88.0,
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,42.0,0.0
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,0.0,1.0
SYNTHETIC_XFL_2023_W7_ROUGHNECKS,2023-04-02,2023,7,XFL,ROUGHNECKS,BATTLEHAWKS,25.0,0.0
SYNTHETIC_XFL_2023_W8_ROUGHNECKS,2023-04-09,2023,8,XFL,BRAHMAS,ROUGHNECKS,41.0,
SYNTHETIC_XFL_2023_W9_ROUGHNECKS,2023-04-15,2023,9,XFL,ROUGHNECKS,VIPERS,28.0,0.0
SYNTHETIC_XFL_2023_W10_ROUGHNECKS,2023-04-23,2023,10,XFL,RENEGADES,ROUGHNECKS,73.0,0.0
4,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,100.0,
8,2024-04-07,2024,2,UFL,DEFENDERS,ROUGHNECKS,94.0,
11,2024-04-14,2024,3,UFL,PANTHERS,ROUGHNECKS,60.0,
16,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,25.0,1.0
18,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,36.0,
28,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,162.0,
30,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,1.0
36,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,39.0,
40,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,64.0,1.0
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,41.0,
52,2025-04-12,2025,3,UFL,SHOWBOATS,ROUGHNECKS,64.0,1.0
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,44.0,1.0
61,2025-04-27,2025,5,UFL,BRAHMAS,ROUGHNECKS,67.0,
81,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,84.0,
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,77.0,
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,28.0,
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,63.0,
