game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,sacks,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2019_10_12_MTL@WPG,2019-10-12,2019,1,CFL,MTL,WPG,,,,,,,12.0,1.0,2.0,,2.0,12.0,,,,,,,,
FOOTBALL_CFL_2019_10_19_WPG@CGY,2019-10-19,2019,1,CFL,WPG,CGY,,,,,,,,2.0,4.0,1.0,9.0,41.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_10_25_CGY@WPG,2019-10-25,2019,1,CFL,CGY,WPG,,,,,,,,5.0,5.0,1.0,12.0,59.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_10_5_WPG@SSK,2019-10-05,2019,1,CFL,WPG,SSK,1.0,1.0,,,,,19.0,4.0,4.0,,-3.0,26.0,,,,,,,,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,,,,,,,22.0,2.0,2.0,,16.0,34.0,,,,,,,,
FOOTBALL_CFL_2019_11_17_WPG@SSK,2019-11-17,2019,1,CFL,WPG,SSK,,,,,,,,3.0,4.0,1.0,6.0,40.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_11_24_HAM@WPG,2019-11-24,2019,1,CFL,HAM,WPG,,,,,,,30.0,3.0,4.0,,2.0,52.0,,,,,,,,
FOOTBALL_CFL_2019_6_15_WPG@BC,2019-06-15,2019,1,CFL,WPG,BC,,,,,,,11.0,2.0,4.0,,6.0,19.0,,,,,,,,
FOOTBALL_CFL_2019_7_12_TOR@WPG,2019-07-12,2019,1,CFL,TOR,WPG,,,,,,,38.0,1.0,3.0,,12.0,38.0,,,,,,,,
FOOTBALL_CFL_2019_7_19_OTT@WPG,2019-07-19,2019,1,CFL,OTT,WPG,,,,,,,,5.0,7.0,1.0,33.0,83.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_7_26_WPG@HAM,2019-07-26,2019,1,CFL,WPG,HAM,,,,,,,25.0,3.0,6.0,,7.0,42.0,,,,,,,,
FOOTBALL_CFL_2019_8_15_BC@WPG,2019-08-15,2019,1,CFL,BC,WPG,,,,,,,16.0,1.0,3.0,,,16.0,,,,,,,,
FOOTBALL_CFL_2019_8_1_WPG@TOR,2019-08-01,2019,1,CFL,WPG,TOR,,,,,,,12.0,2.0,6.0,,9.0,19.0,,,,,,,,
FOOTBALL_CFL_2019_8_23_WPG@EDM,2019-08-23,2019,1,CFL,WPG,EDM,,,,,,,,,1.0,,,,,,,,,,,
