game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,21.0,1.0
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,STL,DC,,,1.0,23.0,1.0
SYNTHETIC_XFL_2023_W4_BATTLEHAWKS,,2023,4,XFL,,,1.0,0.0,,,
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,7.0,2.0
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,26.0,4.0
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,1.0,5.0,1.0
SYNTHETIC_UFL_2024_W1_BATTLEHAWKS,,2024,1,UFL,,,1.0,,0.0,4.0,1.0
SYNTHETIC_UFL_2024_W3_BATTLEHAWKS,,2024,3,UFL,,,,1.0,0.0,1.0,1.0
SYNTHETIC_UFL_2024_W4_BATTLEHAWKS,,2024,4,UFL,,,,,1.0,10.0,2.0
SYNTHETIC_UFL_2024_W6_BATTLEHAWKS,,2024,6,UFL,,,,1.0,,,
SYNTHETIC_UFL_2024_W7_BATTLEHAWKS,,2024,7,UFL,,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2024_W8_BATTLEHAWKS,,2024,8,UFL,,,,,0.0,13.0,2.0
SYNTHETIC_UFL_2024_W9_BATTLEHAWKS,,2024,9,UFL,,,,,0.0,16.0,1.0
SYNTHETIC_UFL_2024_W10_BATTLEHAWKS,,2024,10,UFL,,,1.0,,0.0,12.0,1.0
SYNTHETIC_UFL_2024_W11_BATTLEHAWKS,,2024,11,UFL,,,,,1.0,6.0,2.0
SYNTHETIC_UFL_2025_W1_BATTLEHAWKS,,2025,1,UFL,,,,,0.0,4.0,1.0
SYNTHETIC_UFL_2025_W2_BATTLEHAWKS,,2025,2,UFL,,,,,0.0,14.0,1.0
SYNTHETIC_UFL_2025_W3_BATTLEHAWKS,,2025,3,UFL,,,,,0.0,8.0,1.0
SYNTHETIC_UFL_2025_W4_BATTLEHAWKS,,2025,4,UFL,,,,,0.0,4.0,1.0
SYNTHETIC_UFL_2025_W5_BATTLEHAWKS,,2025,5,UFL,,,,1.0,0.0,21.0,2.0
SYNTHETIC_UFL_2025_W7_BATTLEHAWKS,,2025,7,UFL,,,,,0.0,8.0,1.0
SYNTHETIC_UFL_2025_W8_BATTLEHAWKS,,2025,8,UFL,,,,,0.0,22.0,3.0
SYNTHETIC_UFL_2025_W9_BATTLEHAWKS,,2025,9,UFL,,,,,0.0,7.0,1.0
