game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W5_NO,,,5,USFL,,,,,0.0,5.0,1.0,0.0,21.0
SYNTHETIC_USFL_W6_NO,,,6,USFL,,,,,0.0,20.0,2.0,1.0,102.0
SYNTHETIC_USFL_W7_NO,,,7,USFL,,,1.0,,1.0,33.0,2.0,0.0,34.0
SYNTHETIC_USFL_W8_NO,,,8,USFL,,,,,0.0,1.0,1.0,1.0,27.0
SYNTHETIC_USFL_W9_NO,,,9,USFL,,,,1.0,,,,0.0,59.0
SYNTHETIC_USFL_W10_NO,,,10,USFL,,,,,0.0,16.0,3.0,0.0,25.0
SYNTHETIC_USFL_W11_NO,,,11,USFL,,,,0.0,0.0,30.0,1.0,0.0,49.0
SYNTHETIC_USFL_2023_W1_BREAKERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,,,1.0,29.0,6.0,,46.0
SYNTHETIC_USFL_2023_W2_BREAKERS,2023-04-22,2023,2,USFL,BREAKERS,GAMBLERS,,,0.0,-4.0,1.0,0.0,12.0
SYNTHETIC_USFL_2023_W4_BREAKERS,2023-05-07,2023,4,USFL,GENERALS,BREAKERS,,,0.0,-2.0,1.0,0.0,6.0
SYNTHETIC_USFL_2023_W5_BREAKERS,2023-05-14,2023,5,USFL,BREAKERS,SHOWBOATS,,,1.0,4.0,1.0,0.0,2.0
SYNTHETIC_USFL_2023_W7_BREAKERS,2023-05-27,2023,7,USFL,BREAKERS,STALLIONS,,,0.0,3.0,1.0,0.0,23.0
SYNTHETIC_USFL_2023_W8_BREAKERS,2023-06-04,2023,8,USFL,BREAKERS,PANTHERS,,,0.0,4.0,1.0,0.0,0.0
SYNTHETIC_USFL_2023_W9_BREAKERS,2023-06-10,2023,9,USFL,SHOWBOATS,BREAKERS,,,0.0,19.0,2.0,,
SYNTHETIC_USFL_2023_W10_BREAKERS,2023-06-18,2023,10,USFL,GAMBLERS,BREAKERS,,,0.0,3.0,1.0,,
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,,,1.0,1.0,,27.0
