game_id,date,season,week,league,away,home,interceptions,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_PIT,,,1,USFL,,,0.0,2.0,0.0,129.0,,11.0
SYNTHETIC_USFL_W2_PIT,,,2,USFL,,,,,2.0,236.0,,0.0
SYNTHETIC_USFL_W3_PIT,,,3,USFL,,,,,0.0,125.0,0.0,7.0
SYNTHETIC_USFL_W4_PIT,,,4,USFL,,,,,0.0,169.0,0.0,11.0
SYNTHETIC_USFL_W5_PIT,,,5,USFL,,,,1.0,2.0,221.0,0.0,20.0
SYNTHETIC_USFL_W6_PIT,,,6,USFL,,,,2.0,1.0,198.0,1.0,9.0
SYNTHETIC_USFL_W7_PIT,,,7,USFL,,,,0.0,0.0,,0.0,0.0
SYNTHETIC_USFL_W8_PIT,,,8,USFL,,,,1.0,1.0,218.0,1.0,28.0
SYNTHETIC_USFL_W9_PIT,,,9,USFL,,,,2.0,2.0,179.0,0.0,12.0
SYNTHETIC_USFL_W10_PIT,,,10,USFL,,,,1.0,3.0,280.0,0.0,37.0
