game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2019_10_19_OTT@HAM,2019-10-19,2019,1,CFL,OTT,HAM,,,,,,,50.0,4.0,4.0,,54.0,85.0,,,,1.0,,1.0,5.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_11_2_TOR@HAM,2019-11-02,2019,1,CFL,TOR,HAM,,,,,,,20.0,4.0,4.0,,48.0,54.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_2_17_ORL@SA,2019-02-17,2019,1,CFL,ORL,SA,,,1.0,,,,57.0,3.0,4.0,1.0,,84.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_2_23_MEM@ORL,2019-02-23,2019,1,CFL,MEM,ORL,,,,,,,15.0,1.0,3.0,,,15.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_2_9_ATL@ORL,2019-02-09,2019,1,CFL,ATL,ORL,,,1.0,1.0,1.0,5.0,,3.0,4.0,1.0,,51.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_3_16_ARI@ORL,2019-03-16,2019,1,CFL,ARI,ORL,,,,,,,37.0,6.0,11.0,1.0,,98.0,,,,1.0,2.0,,2.0,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_3_23_ORL@ATL,2019-03-23,2019,1,CFL,ORL,ATL,,,,,,,15.0,4.0,6.0,,,26.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_3_2_ORL@SL,2019-03-02,2019,1,CFL,ORL,SL,,,,,,,20.0,4.0,6.0,,,27.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_3_30_ORL@MEM,2019-03-30,2019,1,CFL,ORL,MEM,,,,,,,19.0,3.0,7.0,,,41.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_3_9_ORL@BIR,2019-03-09,2019,1,CFL,ORL,BIR,,,,,,,17.0,2.0,3.0,,,22.0,,,,,,,,1.0,,2.0,,
FOOTBALL_CFL_2019_8_1_HAM@SSK,2019-08-01,2019,1,CFL,HAM,SSK,,,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_CFL_2019_8_24_HAM@BC,2019-08-24,2019,1,CFL,HAM,BC,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_27_HAM@WPG,2019-09-27,2019,1,CFL,HAM,WPG,,,,,,,,,,,,,23.0,1.0,23.0,,,,,,,,,
FOOTBALL_CFL_2021_8_5_HAM@WPG,2021-08-05,2021,1,CFL,HAM,WPG,1.0,1.0,,,,,12.0,2.0,3.0,,11.0,20.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_1_MTL@EDM,2022-10-01,2022,1,CFL,MTL,EDM,,,,,,,6.0,1.0,3.0,,1.0,6.0,19.0,1.0,19.0,,,,,,,,,
FOOTBALL_CFL_2022_10_8_EDM@WPG,2022-10-08,2022,1,CFL,EDM,WPG,,,,,,,-8.0,1.0,1.0,,-8.0,-8.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_11_EDM@BC,2022-06-11,2022,1,CFL,EDM,BC,1.0,1.0,,,,,16.0,1.0,4.0,,10.0,16.0,27.0,6.0,112.0,,,,,,,,,
FOOTBALL_CFL_2022_9_10_CGY@EDM,2022-09-10,2022,1,CFL,CGY,EDM,,,,,,,,2.0,2.0,1.0,,5.0,30.0,1.0,30.0,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2022_9_16_EDM@SSK,2022-09-16,2022,1,CFL,EDM,SSK,,,,,,,5.0,2.0,3.0,,6.0,10.0,22.0,1.0,22.0,,,,,,,,,
FOOTBALL_CFL_2022_9_5_EDM@CGY,2022-09-05,2022,1,CFL,EDM,CGY,,,,,,,25.0,3.0,5.0,1.0,12.0,33.0,5.0,1.0,5.0,,,,,,1.0,6.0,,1.0
