game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,,,20.0,4.0,4.0,,17.0,53.0,,,,,,,,,,
FOOTBALL_CFL_2016_10_29_OTT@WPG,2016-10-29,2016,1,CFL,OTT,WPG,,,9.0,5.0,7.0,,6.0,34.0,,,,1.0,-3.0,-3.0,,,,
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,,,38.0,5.0,6.0,,18.0,65.0,,,,1.0,20.0,20.0,,,,
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,,,60.0,3.0,8.0,,24.0,98.0,,,,,,,,,,
FOOTBALL_CFL_2016_11_4_WPG@OTT,2016-11-04,2016,1,CFL,WPG,OTT,,,50.0,5.0,6.0,,16.0,82.0,,,,1.0,11.0,11.0,,,,
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,,,9.0,3.0,3.0,,16.0,22.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,,,39.0,7.0,10.0,,36.0,67.0,,,,1.0,11.0,11.0,,,,
FOOTBALL_CFL_2016_7_21_CGY@WPG,2016-07-21,2016,1,CFL,CGY,WPG,1.0,1.0,,12.0,15.0,1.0,45.0,118.0,,,,,,,1.0,1.0,8.0,1.0
FOOTBALL_CFL_2016_7_7_WPG@HAM,2016-07-07,2016,1,CFL,WPG,HAM,,,12.0,4.0,8.0,,25.0,36.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,,,50.0,7.0,9.0,,60.0,135.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_17_TOR@WPG,2016-09-17,2016,1,CFL,TOR,WPG,,,18.0,8.0,10.0,,33.0,93.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,,,25.0,3.0,8.0,,14.0,31.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_30_EDM@WPG,2016-09-30,2016,1,CFL,EDM,WPG,,,,4.0,11.0,1.0,41.0,79.0,,,,1.0,6.0,6.0,,1.0,6.0,1.0
FOOTBALL_CFL_2016_9_4_WPG@SSK,2016-09-04,2016,1,CFL,WPG,SSK,,,24.0,7.0,12.0,,26.0,77.0,,,,,,,,,,
FOOTBALL_CFL_2017_10_21_WPG@TOR,2017-10-21,2017,1,CFL,WPG,TOR,,,43.0,8.0,12.0,1.0,49.0,129.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_10_28_BC@WPG,2017-10-28,2017,1,CFL,BC,WPG,,,22.0,6.0,11.0,,14.0,66.0,,,,,,,,,,
FOOTBALL_CFL_2017_11_12_EDM@WPG,2017-11-12,2017,1,CFL,EDM,WPG,1.0,1.0,,9.0,13.0,2.0,19.0,114.0,,,,,,,1.0,2.0,14.0,2.0
FOOTBALL_CFL_2017_11_3_WPG@CGY,2017-11-03,2017,1,CFL,WPG,CGY,,,7.0,3.0,3.0,,2.0,14.0,,,,1.0,,,,,,
