game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,sacks,tackles
FOOTBALL_CFL_2019_10_12_MTL@WPG,2019-10-12,2019,1,CFL,MTL,WPG,,,,,35.0,5.0,7.0,16.0,86.0,,,,,,,
FOOTBALL_CFL_2019_10_19_WPG@CGY,2019-10-19,2019,1,CFL,WPG,CGY,,,,,14.0,4.0,6.0,8.0,30.0,,,,,,,
FOOTBALL_CFL_2019_10_25_CGY@WPG,2019-10-25,2019,1,CFL,CGY,WPG,,,,,36.0,5.0,6.0,6.0,57.0,,,,,,,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,,,,,1.0,1.0,3.0,,1.0,,,,,,,
FOOTBALL_CFL_2019_11_17_WPG@SSK,2019-11-17,2019,1,CFL,WPG,SSK,,,,,10.0,1.0,1.0,,10.0,,,,,,,
FOOTBALL_CFL_2019_11_24_HAM@WPG,2019-11-24,2019,1,CFL,HAM,WPG,,,,,11.0,2.0,3.0,12.0,15.0,,,,,,,
FOOTBALL_CFL_2019_9_7_SSK@WPG,2019-09-07,2019,1,CFL,SSK,WPG,,,,,15.0,5.0,6.0,27.0,33.0,1.0,10.0,10.0,,,,
SYNTHETIC_CFL_2022_W1_WPG,,2022,1,CFL,,,,0.0,37.0,4.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_WPG,,2022,3,CFL,,,,0.0,58.0,5.0,,,,,,,,,0.0,24.0,,
SYNTHETIC_CFL_2022_W4_WPG,,2022,4,CFL,,,,0.0,18.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W5_WPG,,2022,5,CFL,,,,0.0,17.0,1.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W6_WPG,2022-07-15,2022,6,CFL,CGY,WPG,,0.0,5.0,2.0,,,,,,,,,0.0,3.0,,
SYNTHETIC_CFL_2022_W7_WPG,2022-07-22,2022,7,CFL,WPG,EDM,,1.0,37.0,2.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W8_WPG,2022-07-30,2022,8,CFL,WPG,CGY,,0.0,55.0,5.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W9_WPG,2022-08-04,2022,9,CFL,WPG,MTL,,1.0,21.0,2.0,,,,,,,,,0.0,13.0,,
SYNTHETIC_CFL_2022_W10_WPG,2022-08-11,2022,10,CFL,MTL,WPG,,0.0,38.0,5.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W13_WPG,2022-09-04,2022,13,CFL,WPG,SSK,,0.0,21.0,2.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W15_WPG,2022-09-17,2022,15,CFL,WPG,HAM,,1.0,65.0,5.0,,,,,,,,,0.0,19.0,,
SYNTHETIC_CFL_2022_W17_WPG,2022-09-30,2022,17,CFL,SSK,WPG,,1.0,41.0,2.0,,,,,,,,,0.0,0.0,,
SYNTHETIC_CFL_2022_W18_WPG,2022-10-08,2022,18,CFL,EDM,WPG,,,,,,,,,,,,,0.0,0.0,,
SYNTHETIC_CFL_2022_W19_WPG,2022-10-15,2022,19,CFL,WPG,BC,,2.0,121.0,11.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W21_WPG,2022-10-28,2022,21,CFL,BC,WPG,,,,,,,,,,,,,0.0,6.0,,
SYNTHETIC_CFL_2023_W1_WPG,2023-06-09,2023,1,CFL,HAM,WPG,,1.0,26.0,4.0,,,,,,,,,0.0,24.0,,1.0
SYNTHETIC_CFL_2023_W2_WPG,2023-06-16,2023,2,CFL,WPG,SSK,,0.0,3.0,1.0,,,,,,,,,,,,10.0
SYNTHETIC_CFL_2023_W3_WPG,2023-06-22,2023,3,CFL,BC,WPG,,0.0,18.0,2.0,,,,,,,,,0.0,4.0,,
SYNTHETIC_CFL_2023_W4_WPG,2023-07-01,2023,4,CFL,WPG,MTL,,0.0,7.0,1.0,,,,,,,,,0.0,12.0,,
SYNTHETIC_CFL_2023_W5_WPG,2023-07-07,2023,5,CFL,CGY,WPG,,1.0,40.0,4.0,,,,,,,,,0.0,4.0,,
