game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,tackles
9889287,2023-06-15,2023,2,CFL,CGY,OTT,0.0,51.0,3.0,1.0
9889293,2023-06-24,2023,3,CFL,SSK,CGY,0.0,63.0,4.0,
9889299,2023-07-07,2023,5,CFL,CGY,WPG,0.0,44.0,5.0,
9889305,2023-07-15,2023,6,CFL,CGY,SSK,0.0,32.0,5.0,
9889309,2023-07-23,2023,7,CFL,OTT,CGY,1.0,101.0,6.0,
9889313,2023-07-30,2023,8,CFL,CGY,MTL,0.0,87.0,8.0,
9889320,2023-08-12,2023,10,CFL,CGY,BC,0.0,30.0,4.0,
9889323,2023-08-18,2023,11,CFL,WPG,CGY,0.0,8.0,2.0,
9889344,2023-09-23,2023,16,CFL,MTL,CGY,0.0,55.0,4.0,
9889349,2023-09-30,2023,17,CFL,CGY,HAM,0.0,83.0,7.0,
9889355,2023-10-13,2023,19,CFL,SSK,CGY,0.0,15.0,2.0,
9889358,2023-10-20,2023,20,CFL,CGY,BC,0.0,16.0,1.0,
9889361,2023-10-27,2023,21,CFL,WPG,CGY,0.0,23.0,2.0,
SYNTHETIC_50YARD_2026_W2_ARIZONARATTLERS,2026-05-10,2026,2,50YARD,Tucson Sugar Skulls,Arizona Rattlers,,28.0,2.0,
SYNTHETIC_50YARD_2026_W3_ARIZONARATTLERS,2026-05-18,2026,3,50YARD,ARIZONA RATTLERS,NEW MEXICO CHUPACABRAS,,34.0,1.0,
