game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-IND-ATL,2023-04-29,2023,1,AUDL,INDIANAPOLIS ALLEYCATS,ATLANTA HUSTLE,,3.0,4.0,6.0,,,,,,6.0,,44.0,60.0
2023-05-06-MIN-IND,2023-05-06,2023,2,AUDL,MINNESOTA WIND CHILL,INDIANAPOLIS ALLEYCATS,,2.0,,,,,,,,,,,
2023-05-13-IND-CHI,2023-05-13,2023,3,AUDL,INDIANAPOLIS ALLEYCATS,CHICAGO UNION,,2.0,3.0,3.0,,1.0,,,,3.0,,16.0,12.0
2023-05-20-MAD-IND,2023-05-20,2023,4,AUDL,MADISON RADICALS,INDIANAPOLIS ALLEYCATS,,2.0,4.0,2.0,,2.0,,,,2.0,,79.0,19.0
2023-06-03-IND-DET,2023-06-03,2023,6,AUDL,INDIANAPOLIS ALLEYCATS,DETROIT MECHANIX,,2.0,4.0,3.0,,1.0,,,,4.0,1.0,39.0,-22.0
2023-06-10-CHI-IND,2023-06-10,2023,7,AUDL,CHICAGO UNION,INDIANAPOLIS ALLEYCATS,,1.0,7.0,8.0,,1.0,2.0,1.0,,8.0,,61.0,118.0
2023-06-17-DET-IND,2023-06-17,2023,8,AUDL,DETROIT MECHANIX,INDIANAPOLIS ALLEYCATS,,1.0,2.0,2.0,,,1.0,,2.0,3.0,1.0,23.0,-1.0
2023-06-23-IND-MAD,2023-06-23,2023,9,AUDL,INDIANAPOLIS ALLEYCATS,MADISON RADICALS,1.0,3.0,3.0,2.0,,1.0,,,,3.0,1.0,55.0,15.0
2023-07-01-MAD-IND,2023-07-01,2023,10,AUDL,MADISON RADICALS,INDIANAPOLIS ALLEYCATS,,1.0,,2.0,,,,,,2.0,,,23.0
2023-07-09-IND-MIN,2023-07-09,2023,11,AUDL,INDIANAPOLIS ALLEYCATS,MINNESOTA WIND CHILL,,,1.0,3.0,,,,,,3.0,,6.0,-11.0
2023-07-15-PIT-IND,2023-07-15,2023,12,AUDL,PITTSBURGH THUNDERBIRDS,INDIANAPOLIS ALLEYCATS,1.0,1.0,8.0,7.0,,,2.0,,,9.0,2.0,75.0,62.0
