game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
9889283,2023-06-08,2023,1,CFL,BC,CGY,0.0,0.0,0.0,,,,0.0,-1.0
9889287,2023-06-15,2023,2,CFL,CGY,OTT,,,,,,,0.0,3.0
9889293,2023-06-24,2023,3,CFL,SSK,CGY,0.0,0.0,3.0,,,,0.0,28.0
9889299,2023-07-07,2023,5,CFL,CGY,WPG,0.0,0.0,5.0,,,,0.0,11.0
9889305,2023-07-15,2023,6,CFL,CGY,SSK,,,,,,,0.0,17.0
9889309,2023-07-23,2023,7,CFL,OTT,CGY,0.0,0.0,0.0,,,,1.0,7.0
9889313,2023-07-30,2023,8,CFL,CGY,MTL,1.0,0.0,0.0,,,,0.0,32.0
9889315,2023-08-04,2023,9,CFL,TOR,CGY,,,,,,,1.0,8.0
9889320,2023-08-12,2023,10,CFL,CGY,BC,,,,0.0,0.0,0.0,,
9889323,2023-08-18,2023,11,CFL,WPG,CGY,,,,,,,0.0,2.0
9889333,2023-09-04,2023,13,CFL,EDM,CGY,,,,,,,1.0,1.0
9889337,2023-09-09,2023,14,CFL,CGY,EDM,,,,,,,0.0,8.0
9889344,2023-09-23,2023,16,CFL,MTL,CGY,,,,,,,0.0,15.0
9889355,2023-10-13,2023,19,CFL,SSK,CGY,,,,,,,1.0,1.0
9889358,2023-10-20,2023,20,CFL,CGY,BC,,,,,,,2.0,13.0
9889361,2023-10-27,2023,21,CFL,WPG,CGY,0.0,0.0,9.0,,,,0.0,5.0
10798017,2024-06-07,2024,1,CFL,HAM,CGY,,,,,,,0.0,3.0
10798144,2024-05-25,2024,2,CFL,BC,CGY,,,,,,,0.0,1.0
10798030,2024-06-29,2024,4,CFL,WPG,CGY,,,,,,,0.0,9.0
10798034,2024-07-06,2024,5,CFL,CGY,MTL,0.0,0.0,24.0,,,,2.0,49.0
10798037,2024-07-12,2024,6,CFL,CGY,WPG,,,,,,,2.0,6.0
10798043,2024-07-21,2024,7,CFL,BC,CGY,0.0,0.0,0.0,,,,0.0,6.0
10798045,2024-07-26,2024,8,CFL,CGY,OTT,,,,,,,0.0,6.0
10798051,2024-08-04,2024,9,CFL,TOR,CGY,,,,,,,0.0,23.0
10798053,2024-08-09,2024,10,CFL,CGY,TOR,,,,,,,1.0,10.0
10798056,2024-08-15,2024,11,CFL,OTT,CGY,,,,,,,3.0,10.0
10798071,2024-09-07,2024,14,CFL,CGY,EDM,,,,,,,0.0,2.0
10798074,2024-09-14,2024,15,CFL,MTL,CGY,,,,,,,0.0,8.0
10798076,2024-09-20,2024,16,CFL,SSK,CGY,,,,,,,1.0,69.0
10798084,2024-10-04,2024,18,CFL,CGY,BC,,,,,,,0.0,7.0
10798087,2024-10-12,2024,19,CFL,EDM,CGY,,,,,,,1.0,9.0
10798090,2024-10-18,2024,20,CFL,CGY,HAM,,,,,,,0.0,16.0
10798096,2024-10-26,2024,21,CFL,CGY,SSK,,,,,,,0.0,3.0
11824045,2025-06-05,2025,1,CFL,OTT,SSK,,,,,,,1.0,1.0
11824052,2025-06-14,2025,2,CFL,SSK,HAM,,,,,,,0.0,11.0
11824054,2025-06-20,2025,3,CFL,SSK,TOR,,,,,,,1.0,30.0
11824059,2025-06-28,2025,4,CFL,BC,SSK,,,,,,,0.0,33.0
11824065,2025-07-11,2025,6,CFL,CGY,SSK,,,,,,,0.0,4.0
11824070,2025-07-19,2025,7,CFL,SSK,BC,,,,,,,0.0,27.0
11824073,2025-07-25,2025,8,CFL,EDM,SSK,,,,,,,0.0,1.0
11824079,2025-08-02,2025,9,CFL,SSK,MTL,,,,,,,1.0,13.0
11824086,2025-08-16,2025,11,CFL,HAM,SSK,0.0,0.0,1.0,,,,0.0,13.0
11824091,2025-08-23,2025,12,CFL,SSK,CGY,,,,,,,0.0,3.0
11824092,2025-08-31,2025,13,CFL,WPG,SSK,,,,,,,0.0,10.0
11824097,2025-09-06,2025,14,CFL,SSK,WPG,,,,,,,0.0,31.0
11824102,2025-09-13,2025,15,CFL,MTL,SSK,,,,,,,1.0,2.0
11824110,2025-09-27,2025,17,CFL,SSK,EDM,0.0,0.0,0.0,,,,1.0,4.0
