game_id,date,season,week,league,away,home,misc_td,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,score_fr,score_pts,score_tot
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,,,,,,,,,1.0,,,,
FOOTBALL_CFL_2017_10_13_CGY@HAM,2017-10-13,2017,1,CFL,CGY,HAM,1.0,,,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_11_19_EDM@CGY,2017-11-19,2017,1,CFL,EDM,CGY,,,,,,,1.0,,,,,,,,
FOOTBALL_CFL_2017_11_26_CGY@TOR,2017-11-26,2017,1,CFL,CGY,TOR,,,,,,,,,,25.0,2.0,40.0,,,
FOOTBALL_CFL_2017_11_3_WPG@CGY,2017-11-03,2017,1,CFL,WPG,CGY,,,,,6.0,1.0,1.0,2.0,6.0,,,,,,
FOOTBALL_CFL_2017_7_29_HAM@CGY,2017-07-29,2017,1,CFL,HAM,CGY,,,,,11.0,1.0,1.0,5.0,11.0,,,,,,
FOOTBALL_CFL_2017_8_3_CGY@TOR,2017-08-03,2017,1,CFL,CGY,TOR,,,,,13.0,1.0,1.0,9.0,13.0,,,,,,
SYNTHETIC_CFL_2022_W1_CGY,,2022,1,CFL,,,,0.0,8.0,1.0,,,,,,,,,,,
SYNTHETIC_CFL_2022_W5_CGY,,2022,5,CFL,,,,0.0,8.0,1.0,,,,,,,,,,,
SYNTHETIC_CFL_2022_W11_CGY,2022-08-20,2022,11,CFL,CGY,TOR,,0.0,0.0,0.0,,,,,,,,,,,
SYNTHETIC_CFL_2022_W12_CGY,2022-08-25,2022,12,CFL,CGY,WPG,,0.0,10.0,1.0,,,,,,,,,,,
SYNTHETIC_CFL_2022_W15_CGY,2022-09-17,2022,15,CFL,BC,CGY,,0.0,6.0,1.0,,,,,,,,,,,
SYNTHETIC_CFL_2022_W19_CGY,2022-10-14,2022,19,CFL,HAM,CGY,,1.0,35.0,2.0,,,,,,,,,,,
SYNTHETIC_CFL_2023_W3_CGY,2023-06-24,2023,3,CFL,SSK,CGY,,0.0,0.0,0.0,,,,,,,,,,,
SYNTHETIC_CFL_2023_W6_CGY,2023-07-15,2023,6,CFL,CGY,SSK,,0.0,11.0,1.0,,,,,,,,,,,
SYNTHETIC_CFL_2023_W8_CGY,2023-07-30,2023,8,CFL,CGY,MTL,,0.0,3.0,1.0,,,,,,,,,,,
SYNTHETIC_CFL_2023_W10_CGY,2023-08-12,2023,10,CFL,CGY,BC,,0.0,11.0,1.0,,,,,,,,,,,
SYNTHETIC_CFL_2023_W14_CGY,2023-09-09,2023,14,CFL,CGY,EDM,,1.0,3.0,1.0,,,,,,,,,,,
SYNTHETIC_CFL_2023_W16_CGY,2023-09-23,2023,16,CFL,MTL,CGY,,0.0,11.0,1.0,,,,,,,,,,,
SYNTHETIC_CFL_2023_W17_CGY,2023-09-30,2023,17,CFL,CGY,HAM,,0.0,0.0,0.0,,,,,,,,,,,
SYNTHETIC_CFL_2025_W3_CGY,2025-06-21,2025,3,CFL,OTT,CGY,,0.0,16.0,1.0,,,,,,,,,,,
