game_id,date,season,week,league,away,home,misc_td,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_fr,score_pts,score_tot
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,,,,,,,,,1.0,,,,,,,
FOOTBALL_CFL_2017_10_13_CGY@HAM,2017-10-13,2017,1,CFL,CGY,HAM,1.0,,,,,,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_11_19_EDM@CGY,2017-11-19,2017,1,CFL,EDM,CGY,,,,,,,1.0,,,,,,,,,,,
FOOTBALL_CFL_2017_11_26_CGY@TOR,2017-11-26,2017,1,CFL,CGY,TOR,,,,,,,,,,25.0,2.0,40.0,,,,,,
FOOTBALL_CFL_2017_11_3_WPG@CGY,2017-11-03,2017,1,CFL,WPG,CGY,,,,,6.0,1.0,1.0,2.0,6.0,,,,,,,,,
FOOTBALL_CFL_2017_7_29_HAM@CGY,2017-07-29,2017,1,CFL,HAM,CGY,,,,,11.0,1.0,1.0,5.0,11.0,,,,,,,,,
FOOTBALL_CFL_2017_8_3_CGY@TOR,2017-08-03,2017,1,CFL,CGY,TOR,,,,,13.0,1.0,1.0,9.0,13.0,,,,,,,,,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,,,,,,,,,,13.0,1.0,13.0,,,,,,
FOOTBALL_CFL_2019_6_15_OTT@CGY,2019-06-15,2019,1,CFL,OTT,CGY,,,,,33.0,1.0,1.0,31.0,33.0,,,,,,,,,
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,,,,,2.0,1.0,1.0,2.0,2.0,,,,,,,,,
FOOTBALL_CFL_2019_8_3_EDM@CGY,2019-08-03,2019,1,CFL,EDM,CGY,,,,,,,2.0,,,,,,,,,,,
FOOTBALL_CFL_2019_8_8_CGY@WPG,2019-08-08,2019,1,CFL,CGY,WPG,,,,,5.0,1.0,1.0,5.0,5.0,,,,,,,,,
FOOTBALL_CFL_2019_9_2_EDM@CGY,2019-09-02,2019,1,CFL,EDM,CGY,,,,,14.0,1.0,1.0,10.0,14.0,,,,1.0,3.0,3.0,,,
FOOTBALL_CFL_2021_10_2_SSK@CGY,2021-10-02,2021,1,CFL,SSK,CGY,,,,,,,,,,24.0,1.0,24.0,,,,,,
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,,,,,,,,,,34.0,1.0,34.0,,,,,,
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,,,,,5.0,1.0,1.0,2.0,5.0,,,,,,,,,
FOOTBALL_CFL_2021_11_28_CGY@SSK,2021-11-28,2021,1,CFL,CGY,SSK,,,,,,,,,,12.0,1.0,12.0,,,,,,
SYNTHETIC_CFL_2022_W1_CGY,,2022,1,CFL,,,,0.0,8.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W5_CGY,,2022,5,CFL,,,,0.0,8.0,1.0,,,,,,,,,,,,,,
6253,2022-08-20,2022,11,CFL,CGY,TOR,,0.0,0.0,0.0,,,,,,,,,,,,,,
6254,2022-08-25,2022,12,CFL,CGY,WPG,,0.0,10.0,1.0,,,,,,,,,,,,,,
6268,2022-09-17,2022,15,CFL,BC,CGY,,0.0,6.0,1.0,,,,,,,,,,,,,,
6281,2022-10-14,2022,19,CFL,HAM,CGY,,1.0,35.0,2.0,,,,,,,,,,,,,,
9889293,2023-06-24,2023,3,CFL,SSK,CGY,,0.0,0.0,0.0,,,,,,,,,,,,,,
9889305,2023-07-15,2023,6,CFL,CGY,SSK,,0.0,11.0,1.0,,,,,,,,,,,,,,
9889313,2023-07-30,2023,8,CFL,CGY,MTL,,0.0,3.0,1.0,,,,,,,,,,,,,,
9889320,2023-08-12,2023,10,CFL,CGY,BC,,0.0,11.0,1.0,,,,,,,,,,,,,,
9889337,2023-09-09,2023,14,CFL,CGY,EDM,,1.0,3.0,1.0,,,,,,,,,,,,,,
9889344,2023-09-23,2023,16,CFL,MTL,CGY,,0.0,11.0,1.0,,,,,,,,,,,,,,
9889349,2023-09-30,2023,17,CFL,CGY,HAM,,0.0,0.0,0.0,,,,,,,,,,,,,,
11824055,2025-06-21,2025,3,CFL,OTT,CGY,,0.0,16.0,1.0,,,,,,,,,,,,,,
