game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_W1_HAM,,,1,CFL,,,0.0,72.0,8.0,0.0,9.0
SYNTHETIC_CFL_W3_HAM,,,3,CFL,,,0.0,7.0,2.0,,
SYNTHETIC_CFL_W4_HAM,,,4,CFL,,,0.0,27.0,4.0,,
SYNTHETIC_CFL_W6_HAM,2022-07-16,,6,CFL,OTT,HAM,0.0,57.0,4.0,0.0,9.0
SYNTHETIC_CFL_W7_HAM,2022-07-21,,7,CFL,HAM,BC,0.0,83.0,9.0,0.0,23.0
SYNTHETIC_CFL_W8_HAM,2022-07-28,,8,CFL,MTL,HAM,0.0,39.0,5.0,0.0,14.0
SYNTHETIC_CFL_W9_HAM,2022-08-06,,9,CFL,HAM,TOR,0.0,52.0,3.0,0.0,1.0
SYNTHETIC_CFL_2023_W12_HAM,2023-08-26,2023,12,CFL,HAM,BC,0.0,27.0,4.0,,
SYNTHETIC_CFL_2023_W14_HAM,2023-09-08,2023,14,CFL,HAM,OTT,0.0,6.0,1.0,,
SYNTHETIC_CFL_2023_W15_HAM,2023-09-16,2023,15,CFL,WPG,HAM,0.0,20.0,1.0,,
SYNTHETIC_CFL_2023_W16_HAM,2023-09-23,2023,16,CFL,HAM,TOR,1.0,40.0,5.0,,
SYNTHETIC_CFL_2023_W17_HAM,2023-09-30,2023,17,CFL,CGY,HAM,0.0,94.0,7.0,,
SYNTHETIC_CFL_2023_W18_HAM,2023-10-07,2023,18,CFL,HAM,SSK,0.0,34.0,2.0,,
SYNTHETIC_CFL_2023_W19_HAM,2023-10-13,2023,19,CFL,BC,HAM,1.0,19.0,2.0,,
SYNTHETIC_CFL_2023_W21_HAM,2023-10-28,2023,21,CFL,HAM,MTL,0.0,32.0,4.0,,
SYNTHETIC_CFL_2024_W2_OTT,2024-05-25,2024,2,CFL,OTT,HAM,0.0,39.0,2.0,0.0,31.0
SYNTHETIC_CFL_2024_W3_OTT,2024-06-20,2024,3,CFL,OTT,MTL,0.0,14.0,2.0,0.0,5.0
SYNTHETIC_CFL_2024_W4_OTT,2024-06-30,2024,4,CFL,HAM,OTT,0.0,44.0,5.0,0.0,4.0
SYNTHETIC_CFL_2024_W5_OTT,2024-07-05,2024,5,CFL,OTT,WPG,0.0,7.0,2.0,0.0,10.0
SYNTHETIC_CFL_2024_W7_OTT,2024-07-19,2024,7,CFL,EDM,OTT,0.0,22.0,2.0,0.0,12.0
SYNTHETIC_CFL_2024_W8_OTT,2024-07-26,2024,8,CFL,CGY,OTT,0.0,42.0,3.0,0.0,28.0
SYNTHETIC_CFL_2024_W11_OTT,2024-08-15,2024,11,CFL,OTT,CGY,0.0,55.0,6.0,0.0,8.0
SYNTHETIC_CFL_2024_W12_OTT,2024-08-24,2024,12,CFL,BC,OTT,0.0,92.0,5.0,0.0,7.0
SYNTHETIC_CFL_2024_W20_OTT,2024-10-19,2024,20,CFL,OTT,TOR,2.0,74.0,8.0,0.0,8.0
SYNTHETIC_CFL_2024_W21_OTT,2024-10-25,2024,21,CFL,HAM,OTT,1.0,44.0,6.0,0.0,38.0
SYNTHETIC_CFL_2025_W1_OTT,2025-06-05,2025,1,CFL,OTT,SSK,0.0,112.0,8.0,0.0,1.0
SYNTHETIC_CFL_2025_W2_OTT,2025-06-13,2025,2,CFL,MTL,OTT,1.0,52.0,6.0,,
SYNTHETIC_CFL_2025_W3_OTT,2025-06-21,2025,3,CFL,OTT,CGY,0.0,6.0,1.0,0.0,-3.0
SYNTHETIC_CFL_2025_W4_OTT,2025-06-29,2025,4,CFL,TOR,OTT,0.0,50.0,6.0,0.0,7.0
SYNTHETIC_CFL_2025_W9_OTT,2025-07-31,2025,9,CFL,CGY,OTT,0.0,28.0,3.0,0.0,3.0
SYNTHETIC_CFL_2025_W10_OTT,2025-08-09,2025,10,CFL,OTT,TOR,1.0,115.0,7.0,,
SYNTHETIC_CFL_2025_W11_OTT,2025-08-14,2025,11,CFL,OTT,WPG,0.0,60.0,7.0,0.0,7.0
SYNTHETIC_CFL_2025_W14_OTT,2025-09-05,2025,14,CFL,BC,OTT,0.0,39.0,3.0,0.0,4.0
SYNTHETIC_CFL_2025_W15_OTT,2025-09-12,2025,15,CFL,OTT,BC,0.0,132.0,11.0,0.0,3.0
SYNTHETIC_CFL_2025_W16_OTT,2025-09-20,2025,16,CFL,WPG,OTT,1.0,69.0,6.0,,16.0
SYNTHETIC_CFL_2025_W18_OTT,2025-10-03,2025,18,CFL,SSK,OTT,0.0,41.0,4.0,,
SYNTHETIC_CFL_2025_W19_OTT,2025-10-13,2025,19,CFL,OTT,MTL,0.0,4.0,1.0,,
SYNTHETIC_CFL_2025_W20_OTT,2025-10-18,2025,20,CFL,MTL,OTT,0.0,78.0,5.0,0.0,4.0
SYNTHETIC_CFL_2025_W21_OTT,2025-10-24,2025,21,CFL,OTT,HAM,0.0,39.0,4.0,0.0,16.0
