game_id,date,season,week,league,away,home,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,68.0,5.0,5.0,132.0,,325.0,23.0,7.0,7.0,51.0,23.0,2.0,2.0
FOOTBALL_CFL_2016_10_29_OTT@WPG,2016-10-29,2016,1,CFL,OTT,WPG,66.0,2.0,2.0,12.0,,87.0,4.0,1.0,1.0,37.0,4.0,1.0,1.0
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,70.0,7.0,7.0,174.0,,451.0,13.0,3.0,3.0,48.0,13.0,4.0,4.0
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,81.0,4.0,3.0,69.0,,269.0,13.0,4.0,3.0,37.0,12.0,3.0,3.0
FOOTBALL_CFL_2016_11_4_WPG@OTT,2016-11-04,2016,1,CFL,WPG,OTT,67.0,4.0,4.0,86.0,,254.0,15.0,4.0,4.0,20.0,15.0,3.0,3.0
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,72.0,3.0,2.0,44.0,,198.0,4.0,2.0,1.0,58.0,3.0,,
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,76.0,3.0,3.0,60.0,,204.0,10.0,4.0,3.0,43.0,10.0,1.0,1.0
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,81.0,4.0,3.0,38.0,,218.0,4.0,,,,3.0,3.0,3.0
FOOTBALL_CFL_2016_7_21_CGY@WPG,2016-07-21,2016,1,CFL,CGY,WPG,69.0,3.0,3.0,79.0,,201.0,10.0,3.0,3.0,46.0,9.0,,
FOOTBALL_CFL_2016_7_7_WPG@HAM,2016-07-07,2016,1,CFL,WPG,HAM,90.0,6.0,4.0,122.0,,419.0,16.0,6.0,4.0,46.0,14.0,2.0,2.0
FOOTBALL_CFL_2016_8_12_WPG@TOR,2016-08-12,2016,1,CFL,WPG,TOR,76.0,5.0,5.0,113.0,,351.0,10.0,2.0,2.0,49.0,10.0,4.0,4.0
FOOTBALL_CFL_2016_8_26_WPG@MTL,2016-08-26,2016,1,CFL,WPG,MTL,69.0,6.0,5.0,107.0,,385.0,20.0,6.0,6.0,47.0,20.0,2.0,2.0
FOOTBALL_CFL_2016_8_3_HAM@WPG,2016-08-03,2016,1,CFL,HAM,WPG,79.0,7.0,7.0,176.0,,496.0,13.0,3.0,3.0,31.0,13.0,4.0,4.0
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,68.0,4.0,4.0,69.0,,262.0,5.0,3.0,1.0,35.0,5.0,2.0,2.0
FOOTBALL_CFL_2016_9_17_TOR@WPG,2016-09-17,2016,1,CFL,TOR,WPG,75.0,6.0,6.0,120.0,,413.0,22.0,6.0,6.0,53.0,22.0,4.0,4.0
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,79.0,6.0,6.0,205.0,,427.0,4.0,,,,4.0,4.0,4.0
FOOTBALL_CFL_2016_9_30_EDM@WPG,2016-09-30,2016,1,CFL,EDM,WPG,92.0,5.0,4.0,89.0,,358.0,14.0,5.0,4.0,54.0,13.0,1.0,1.0
FOOTBALL_CFL_2016_9_4_WPG@SSK,2016-09-04,2016,1,CFL,WPG,SSK,71.0,2.0,2.0,46.0,1.0,130.0,22.0,8.0,7.0,52.0,22.0,1.0,1.0
